SiteName,County,AQI,Pollutant,Status,SO2,CO,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,DataCreationDate,Unit,CO_8hr,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
基隆,基隆市,35,,良好,1.2,0.24,29.5,32,13,5,12.7,13.9,1.2,0.8,285,2021-02-27 00:00,,0.4,11,19,2,121.760056,25.129167,1
汐止,新北市,34,,良好,0.5,0.28,36.6,37,5,5,8,10.1,2.1,1.6,54,2021-02-27 00:00,,0.3,8,16,2,121.6423,25.067131,2
萬里,新北市,39,,良好,1.3,0.21,42.1,42,24,9,4.9,5.8,0.9,4.4,13,2021-02-27 00:00,,0.2,11,37,2,121.689881,25.179667,3
新店,新北市,39,,良好,1.1,0.29,37.4,37,12,8,8,9.4,1.4,1.3,90,2021-02-27 00:00,,0.4,12,18,2,121.537778,24.977222,4
土城,新北市,34,,良好,0.5,0.29,34,30,11,4,8.4,9.1,0.7,1.3,318,2021-02-27 00:00,,0.4,10,22,3,121.451861,24.982528,5
板橋,新北市,50,,良好,1.5,0.35,25.8,22,11,8,12.7,14.2,1.5,2.3,343,2021-02-27 00:00,,0.5,15,24,3,121.458667,25.012972,6
新莊,新北市,39,,良好,1.8,0.24,36.2,34,5,6,6.4,7.3,0.9,2.9,1,2021-02-27 00:00,,0.3,12,18,3,121.4325,25.037972,7
菜寮,新北市,43,,良好,1.3,0.3,31.5,28,5,8,7.4,9.4,2.1,1.4,283,2021-02-27 00:00,,0.4,13,20,2,121.481028,25.06895,8
林口,新北市,34,,良好,0.5,0.18,39,37,5,4,6,7.2,1.2,3.4,29,2021-02-27 00:00,,0.2,10,12,4,121.376869,25.077197,9
淡水,新北市,36,,良好,1.6,0.19,38.4,39,5,4,4.3,4.7,0.3,,,2021-02-27 00:00,,0.2,10,16,2,121.449239,25.1645,10
士林,臺北市,51,細懸浮微粒,普通,1.5,0.26,33.5,32,17,11,11,12,1,1.5,242,2021-02-27 00:00,,0.3,16,26,2,121.515389,25.105417,11
中山,臺北市,36,,良好,0,0.42,27.6,23,5,5,14.9,17.1,2.2,1.7,118,2021-02-27 00:00,,0.6,11,15,2,121.526528,25.062361,12
基隆,基隆市,31,,良好,1.8,0.16,31,33,11,6,13,14,1,0.6,296,2021-02-27 01:00,,0.2,10,18,2,121.760056,25.129167,1
汐止,新北市,33,,良好,1.4,0.27,36.4,36,5,6,7.9,9.4,1.4,1.1,35,2021-02-27 01:00,,0.3,7,13,2,121.6423,25.067131,2
萬里,新北市,39,,良好,2.1,0.19,44.7,42,33,6,2.7,3.6,1,2.4,347,2021-02-27 01:00,,0.2,10,34,2,121.689881,25.179667,3
新店,新北市,34,,良好,1.1,0.26,40.2,37,12,6,5.8,7,1.2,1.6,100,2021-02-27 01:00,,0.4,10,16,2,121.537778,24.977222,4
土城,新北市,28,,良好,0.5,0.26,33,30,5,3,7.4,8.2,0.7,1.6,320,2021-02-27 01:00,,0.4,8,19,2,121.451861,24.982528,5
板橋,新北市,45,,良好,1.8,0.29,28.7,23,10,6,9,10.4,1.4,2,337,2021-02-27 01:00,,0.5,14,22,3,121.458667,25.012972,6
新莊,新北市,34,,良好,1.5,0.24,36.6,34,5,2,5.7,7.5,1.8,2.7,14,2021-02-27 01:00,,0.3,10,16,3,121.4325,25.037972,7
菜寮,新北市,38,,良好,1.5,0.27,34,29,5,7,5,6.4,1.4,1.8,289,2021-02-27 01:00,,0.4,12,17,2,121.481028,25.06895,8
林口,新北市,34,,良好,2.2,0.18,39.1,37,5,4,5.8,6.7,0.9,3.1,28,2021-02-27 01:00,,0.2,8,11,3,121.376869,25.077197,9
淡水,新北市,35,,良好,1.8,0.19,37.3,38,5,3,4.2,4.5,0.3,1.7,350,2021-02-27 01:00,,0.2,8,14,2,121.449239,25.1645,10
萬華,臺北市,37,,良好,,0.38,27.3,24,10,4,16.2,18.7,2.5,1.3,284,2021-02-27 00:00,,0.5,11,17,2,121.507972,25.046503,13
古亭,臺北市,33,,良好,,0.3,33,31,5,4,10.1,11,1,1,69,2021-02-27 00:00,,0.4,10,14,1,121.529556,25.020608,14
松山,臺北市,33,,良好,,0.32,34,30,5,6,8.1,11.1,3.1,1.9,60,2021-02-27 00:00,,0.4,10,13,,121.578611,25.05,15
大同,臺北市,54,細懸浮微粒,普通,1.7,0.68,-,-,22,10,18.1,28.8,10.8,-,-,2021-02-27 00:00,,1,17,29,2,121.513311,25.0632,16
桃園,桃園市,40,,良好,0.5,0.27,33.8,31,14,9,8.8,10.3,1.5,2.8,18,2021-02-27 00:00,,0.4,12,22,3,121.30872222,24.98677778,17
大園,桃園市,37,,良好,1.7,0.19,41.3,40,24,10,4.7,6.1,1.5,7.3,27,2021-02-27 00:00,,0.2,11,25,3,121.201811,25.060344,18
觀音,桃園市,33,,良好,2.5,0.19,35.6,36,28,4,4.4,4.8,0.3,4.5,49,2021-02-27 00:00,,0.2,10,28,3,121.082761,25.035503,19
平鎮,桃園市,45,,良好,1.3,0.26,30.9,28,13,11,9.1,10.9,1.8,2.7,31,2021-02-27 00:00,,0.4,14,27,2,121.203986,24.952786,20
龍潭,桃園市,57,細懸浮微粒,普通,2,0.22,31.8,29,5,12,9.1,10,0.9,3,30,2021-02-27 00:00,,0.3,18,24,3,121.21635,24.863869,21
湖口,新竹縣,47,,良好,1.4,0.2,37,38,16,10,6.3,7.2,0.9,4.9,33,2021-02-27 00:00,,0.2,15,28,2,121.038653,24.900142,22
竹東,新竹縣,57,細懸浮微粒,普通,,0.3,28.5,28,20,10,9.7,9.6,0,3.2,344,2021-02-27 00:00,,0.4,18,30,,121.088903,24.740644,23
新竹,新竹市,46,,良好,1.9,0.25,33.5,33,21,7,9.8,10.5,0.7,2.5,48,2021-02-27 00:00,,0.3,14,33,3,120.972075,24.805619,24
頭份,苗栗縣,59,細懸浮微粒,普通,2.1,0.24,29.2,26,17,6,4.7,6.2,1.5,2.8,58,2021-02-27 00:00,,0.4,19,37,3,120.898572,24.696969,25
