SiteName,County,AQI,Pollutant,Status,SO2,CO,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,DataCreationDate,Unit,CO_8hr,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
基隆,基隆市,41,,良好,0.5,0.16,42.8,44,20,5,2.2,3.6,1.5,1.4,72,2021-02-13 00:00,,0.2,8,19,1,121.760056,25.129167,1
汐止,新北市,36,,良好,1,0.24,36.2,39,10,4,10.4,11.5,1.2,1.5,75,2021-02-13 00:00,,0.2,8,18,2,121.6423,25.067131,2
萬里,新北市,87,懸浮微粒,普通,1.8,0.13,48.3,48,97,18,0,2.1,2.2,4.9,16,2021-02-13 00:00,,0.1,22,107,2,121.689881,25.179667,3
新店,新北市,35,,良好,1.7,0.26,33,38,5,6,9.4,10.3,0.9,1,146,2021-02-13 00:00,,0.2,5,10,2,121.537778,24.977222,4
土城,新北市,38,,良好,1.3,0.25,35.1,41,10,5,9,10.4,1.4,0.9,153,2021-02-13 00:00,,0.2,7,12,2,121.451861,24.982528,5
板橋,新北市,30,,良好,2.6,0.36,25.8,32,10,9,15.3,16.8,1.5,1.1,156,2021-02-13 00:00,,0.3,9,14,3,121.458667,25.012972,6
新莊,新北市,37,,良好,2.4,0.33,29.9,39,16,16,10.6,12.4,1.9,0.5,358,2021-02-13 00:00,,0.3,11,16,2,121.4325,25.037972,7
菜寮,新北市,35,,良好,1.5,0.34,24.3,38,24,17,6.7,8.9,2.2,1,278,2021-02-13 00:00,,0.2,11,17,1,121.481028,25.06895,8
林口,新北市,38,,良好,1.9,0.17,42.3,41,13,9,4.1,5,0.9,3,51,2021-02-13 00:00,,0.2,9,15,2,121.376869,25.077197,9
淡水,新北市,38,,良好,0.5,0.18,37.6,41,11,5,4,4.4,0.3,,,2021-02-13 00:00,,0.2,5,13,1,121.449239,25.1645,10
士林,臺北市,42,,良好,2.4,0.25,28.9,45,20,14,10.7,11.6,0.8,0.9,227,2021-02-13 00:00,,0.1,9,14,2,121.515389,25.105417,11
中山,臺北市,33,,良好,0.5,0.34,30.6,36,11,7,,,,1.6,103,2021-02-13 00:00,,0.3,9,14,1,121.526528,25.062361,12
