SiteName,County,AQI,Pollutant,Status,SO2,CO,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,DataCreationDate,Unit,CO_8hr,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
基隆,基隆市,92,細懸浮微粒,普通,1.4,0.28,52.7,54,65,24,4.4,5.5,1.1,2.4,81,2021-02-03 00:00,,0.4,32,68,2,121.760056,25.129167,1
汐止,新北市,96,細懸浮微粒,普通,1.2,0.4,43.4,38,68,31,14,16.4,2.4,2.8,31,2021-02-03 00:00,,0.5,34,64,2,121.6423,25.067131,2
萬里,新北市,98,細懸浮微粒,普通,0.5,0.25,56.7,60,92,27,1.5,2,0.6,8.9,49,2021-02-03 00:00,,0.4,34,96,1,121.689881,25.179667,3
新店,新北市,90,細懸浮微粒,普通,1,0.41,54.3,51,62,30,6,6.9,0.9,1.8,120,2021-02-03 00:00,,0.6,31,58,1,121.537778,24.977222,4
土城,新北市,96,細懸浮微粒,普通,0.5,0.47,51.5,46,60,32,7,7.6,0.6,1.2,127,2021-02-03 00:00,,0.6,34,61,2,121.451861,24.982528,5
板橋,新北市,98,細懸浮微粒,普通,2.1,0.46,44,36,63,29,12.7,13.6,1,1.8,98,2021-02-03 00:00,,0.7,35,66,3,121.458667,25.012972,6
新莊,新北市,96,細懸浮微粒,普通,3,0.45,48.7,47,64,31,10.8,11.3,0.3,5.2,77,2021-02-03 00:00,,0.6,34,60,3,121.4325,25.037972,7
菜寮,新北市,90,細懸浮微粒,普通,0.5,0.46,51.2,49,57,29,4.8,5.9,1.1,2.7,81,2021-02-03 00:00,,0.6,31,56,1,121.481028,25.06895,8
林口,新北市,96,細懸浮微粒,普通,1.5,0.4,53.9,51,61,29,6.7,8.1,1.4,4.1,73,2021-02-03 00:00,,0.5,34,66,2,121.376869,25.077197,9
基隆,基隆市,92,細懸浮微粒,普通,1.4,0.28,52.7,54,65,24,4.4,5.5,1.1,2.4,81,2021-02-03 00:00,,0.4,32,68,2,121.760056,25.129167,1
汐止,新北市,96,細懸浮微粒,普通,1.2,0.4,43.4,38,68,31,14,16.4,2.4,2.8,31,2021-02-03 00:00,,0.5,34,64,2,121.6423,25.067131,2
萬里,新北市,98,細懸浮微粒,普通,0.5,0.25,56.7,60,92,27,1.5,2,0.6,8.9,49,2021-02-03 00:00,,0.4,34,96,1,121.689881,25.179667,3
新店,新北市,90,細懸浮微粒,普通,1,0.41,54.3,51,62,30,6,6.9,0.9,1.8,120,2021-02-03 00:00,,0.6,31,58,1,121.537778,24.977222,4
土城,新北市,96,細懸浮微粒,普通,0.5,0.47,51.5,46,60,32,7,7.6,0.6,1.2,127,2021-02-03 00:00,,0.6,34,61,2,121.451861,24.982528,5
板橋,新北市,98,細懸浮微粒,普通,2.1,0.46,44,36,63,29,12.7,13.6,1,1.8,98,2021-02-03 00:00,,0.7,35,66,3,121.458667,25.012972,6
新莊,新北市,96,細懸浮微粒,普通,3,0.45,48.7,47,64,31,10.8,11.3,0.3,5.2,77,2021-02-03 00:00,,0.6,34,60,3,121.4325,25.037972,7
菜寮,新北市,90,細懸浮微粒,普通,0.5,0.46,51.2,49,57,29,4.8,5.9,1.1,2.7,81,2021-02-03 00:00,,0.6,31,56,1,121.481028,25.06895,8
林口,新北市,96,細懸浮微粒,普通,1.5,0.4,53.9,51,61,29,6.7,8.1,1.4,4.1,73,2021-02-03 00:00,,0.5,34,66,2,121.376869,25.077197,9
淡水,新北市,91,細懸浮微粒,普通,1.2,0.38,50.3,53,57,27,,,,,,2021-02-03 00:00,,0.5,32,55,2,121.449239,25.1645,10
士林,臺北市,84,細懸浮微粒,普通,1.8,0.3,56.1,56,67,26,3.4,3.9,0.3,4.1,107,2021-02-03 00:00,,0.4,29,61,2,121.515389,25.105417,11
中山,臺北市,98,細懸浮微粒,普通,2.1,0.49,45.4,36,66,30,12.6,15.7,3.1,2,105,2021-02-03 00:00,,0.8,34,65,,121.526528,25.062361,12
萬華,臺北市,97,細懸浮微粒,普通,0.5,0.44,45.1,40,66,30,12.8,15.7,2.8,2.6,88,2021-02-03 00:00,,0.6,34,64,1,121.507972,25.046503,13
古亭,臺北市,99,細懸浮微粒,普通,0.5,0.4,50.4,41,65,32,7.2,7.6,0.3,1.5,74,2021-02-03 00:00,,0.6,35,64,1,121.529556,25.020608,14
松山,臺北市,109,細懸浮微粒,對敏感族群不健康,0.5,0.5,40.8,33,67,32,,,,2.4,52,2021-02-03 00:00,,0.6,38,71,1,121.578611,25.05,15
大同,臺北市,104,細懸浮微粒,對敏感族群不健康,2.7,,-,-,,,,,,-,-,2021-02-03 00:00,,0.9,37,76,3,121.513311,25.0632,16
桃園,桃園市,98,細懸浮微粒,普通,3.5,0.43,48.6,43,67,29,9.5,11.9,2.3,2.5,73,2021-02-03 00:00,,0.7,35,66,6,121.30872222,24.98677778,17
大園,桃園市,110,細懸浮微粒,對敏感族群不健康,,0.41,51.3,50,62,32,8.8,10.7,1.9,5.2,61,2021-02-03 00:00,,0.5,39,72,,121.201811,25.060344,18
觀音,桃園市,111,細懸浮微粒,對敏感族群不健康,10.3,0.45,37.9,43,73,31,15.2,15.1,0,4.9,80,2021-02-03 00:00,,0.5,40,78,4,121.082761,25.035503,19
平鎮,桃園市,109,細懸浮微粒,對敏感族群不健康,2.3,0.44,50.7,44,67,33,8.1,9.1,1,5,77,2021-02-03 00:00,,0.7,39,71,4,121.203986,24.952786,20
龍潭,桃園市,95,細懸浮微粒,普通,0.5,0.36,54.9,51,56,28,3.3,4.3,1.1,6.8,63,2021-02-03 00:00,,0.5,33,56,2,121.21635,24.863869,21
湖口,新竹縣,104,細懸浮微粒,對敏感族群不健康,1.7,0.43,51.7,51,63,27,7.5,9.2,1.8,7.2,52,2021-02-03 00:00,,0.6,37,68,2,121.038653,24.900142,22
竹東,新竹縣,79,細懸浮微粒,普通,0,0.44,56.3,56,36,25,4.6,5.2,0.6,3.2,44,2021-02-03 00:00,,0.5,27,42,1,121.088903,24.740644,23
新竹,新竹市,112,細懸浮微粒,對敏感族群不健康,0.5,0.39,53.5,49,66,31,5.3,5.6,0.3,4.1,55,2021-02-03 00:00,,0.6,40,72,2,120.972075,24.805619,24
頭份,苗栗縣,100,細懸浮微粒,普通,2.1,0.4,46.5,43,55,31,6,6.3,0.3,4,64,2021-02-03 00:00,,0.5,35,64,3,120.898572,24.696969,25
苗栗,苗栗縣,87,細懸浮微粒,普通,2.1,0.49,40.1,39,57,28,9.5,9.8,0.3,1.7,19,2021-02-03 00:00,,0.6,30,53,2,120.8202,24.565269,26
三義,苗栗縣,76,細懸浮微粒,普通,1.4,0.44,41.1,40,42,27,4.7,5.7,0.9,3.5,22,2021-02-03 00:00,,0.5,26,39,2,120.758833,24.382942,27
豐原,臺中市,68,細懸浮微粒,普通,1.4,0.45,38.8,42,31,24,6.1,6.3,0.3,0.9,92,2021-02-03 00:00,,0.4,22,33,2,120.741711,24.256586,28
沙鹿,臺中市,96,細懸浮微粒,普通,1,0.46,47.3,45,47,30,5.5,6.4,0.9,2.8,3,2021-02-03 00:00,,0.5,34,57,1,120.568794,24.225628,29
