SiteName,County,AQI,Pollutant,Status,SO2,CO,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,DataCreationDate,Unit,CO_8hr,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
士林,臺北市,32,,良好,0.5,0.14,37.9,35,29,9,3.8,5.3,1.4,4.8,90,2021-10-04 13:00,,0.1,7,21,0,121.515389,25.105417,11
中山,臺北市,27,,良好,1.1,0.29,29.7,25,21,9,9.3,14,4.7,4.1,129,2021-10-04 13:00,,0.3,8,21,0,121.526528,25.062361,12
萬華,臺北市,30,,良好,0.2,0.24,29.5,27,19,10,11.2,14.6,3.4,2.6,100,2021-10-04 13:00,,0.2,9,19,0,121.507972,25.046503,13
古亭,臺北市,32,,良好,0.3,0.15,37.1,35,15,7,4.3,5.6,1.3,3.6,75,2021-10-04 13:00,,0.1,7,16,0,121.529556,25.020608,14
松山,臺北市,26,,良好,1.2,0.17,31.8,28,26,5,7,10.3,3.3,2.5,70,2021-10-04 13:00,,0.2,7,24,0,121.578611,25.05,15
大同,臺北市,37,,良好,1.5,0.57,22.8,16,34,9,16.5,31.9,15.4,-,-,2021-10-04 13:00,,0.8,11,37,1,121.513311,25.0632,16
桃園,桃園市,31,,良好,1.6,0.24,37.8,33,21,7,7.7,10.4,2.6,3.3,60,2021-10-04 13:00,,0.2,8,19,3,121.30872222,24.98677778,17
大園,桃園市,34,,良好,1.3,0.2,39.6,31,46,7,8.9,11.9,3,5.7,105,2021-10-04 13:00,,0.2,6,34,1,121.201811,25.060344,18
觀音,桃園市,33,,良好,,0.34,,30,39,21,,,,3.6,250,2021-10-04 13:00,,0.2,10,24,2,121.082761,25.035503,19
平鎮,桃園市,31,,良好,1,0.24,40.7,33,14,7,9.5,13,3.5,4.1,63,2021-10-04 13:00,,0.2,7,15,0,121.203986,24.952786,20
龍潭,桃園市,41,,良好,0.8,0.22,50.3,44,25,7,8.1,9.6,1.5,3.2,27,2021-10-04 13:00,,0.2,11,24,1,121.21635,24.863869,21
湖口,新竹縣,75,細懸浮微粒,普通,2.9,0.26,84.6,54,51,32,6.5,7.4,0.9,3.7,284,2021-10-04 13:00,,0.2,25,42,1,121.038653,24.900142,22
竹東,新竹縣,71,細懸浮微粒,普通,1.6,0.31,87.4,53,37,29,5.6,6.2,0.5,1.4,9,2021-10-04 13:00,,0.3,24,36,1,121.088903,24.740644,23
新竹,新竹市,79,細懸浮微粒,普通,3.4,0.39,79.3,45,49,34,11.9,13.1,1.1,2.6,262,2021-10-04 13:00,,0.4,27,43,1,120.972075,24.805619,24
頭份,苗栗縣,84,細懸浮微粒,普通,3.4,0.36,83.4,52,50,27,5.7,7,1.2,3,314,2021-10-04 13:00,,0.3,29,47,2,120.898572,24.696969,25
