SiteName,County,AQI,Pollutant,Status,SO2,CO,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,DataCreationDate,Unit,CO_8hr,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
板橋,新北市,34,,良好,0.9,0.23,37.9,35,22,10,8.1,11.4,3.3,2.6,111,2021-10-05 11:00,,0.2,10,27,0,121.458667,25.012972,6
新莊,新北市,37,,良好,0.9,0.18,37.6,36,41,9,7.6,10.8,3.1,5.8,85,2021-10-05 11:00,,0.2,10,37,1,121.4325,25.037972,7
菜寮,新北市,38,,良好,0.7,0.24,36.1,34,22,14,8.4,10.9,2.4,4.2,67,2021-10-05 11:00,,0.2,12,27,0,121.481028,25.06895,8
林口,新北市,34,,良好,0.8,0.19,36.5,34,25,10,,,,4.7,68,2021-10-05 11:00,,0.1,10,27,0,121.376869,25.077197,9
淡水,新北市,34,,良好,0.2,0.14,37.3,37,21,4,2.9,3.8,0.8,2.9,120,2021-10-05 11:00,,0.1,7,22,0,121.449239,25.1645,10
士林,臺北市,35,,良好,0.2,0.18,37.1,38,26,7,6.5,8.6,2.1,4.5,90,2021-10-05 11:00,,0.1,8,29,0,121.515389,25.105417,11
中山,臺北市,34,,良好,0.5,0.35,28.6,27,26,11,13.5,20.7,7.2,3.3,95,2021-10-05 11:00,,0.3,11,28,0,121.526528,25.062361,12
萬華,臺北市,33,,良好,0.1,0.24,31.1,30,23,8,12.2,16.6,4.3,3.8,91,2021-10-05 11:00,,0.2,10,27,0,121.507972,25.046503,13
古亭,臺北市,35,,良好,0.3,0.16,38.1,38,19,6,5.4,6.7,1.3,3.2,92,2021-10-05 11:00,,0.1,9,23,0,121.529556,25.020608,14
松山,臺北市,35,,良好,0.6,0.19,32,32,37,13,10.1,14.8,4.6,2.8,49,2021-10-05 11:00,,0.1,11,32,1,121.578611,25.05,15
大同,臺北市,44,,良好,0.8,0.41,24.6,23,44,17,17.5,30.3,12.7,-,-,2021-10-05 11:00,,0.5,14,43,1,121.513311,25.0632,16
桃園,桃園市,35,,良好,,,,,34,12,,,,3,74,2021-10-05 11:00,,,11,27,,121.30872222,24.98677778,17
大園,桃園市,44,,良好,1,0.18,37.2,35,53,11,12.5,17.3,4.7,7,80,2021-10-05 11:00,,0.1,9,44,1,121.201811,25.060344,18
觀音,桃園市,65,懸浮微粒,普通,0.8,0.18,43.5,36,83,9,7.3,9,1.6,9.9,79,2021-10-05 11:00,,0.1,10,65,1,121.082761,25.035503,19
平鎮,桃園市,35,,良好,0.8,0.22,40,38,31,8,9.6,12.9,3.3,5.9,79,2021-10-05 11:00,,0.2,9,26,0,121.203986,24.952786,20
龍潭,桃園市,36,,良好,0.5,0.17,41.1,39,35,7,6.4,8.9,2.4,6.7,60,2021-10-05 11:00,,0.1,7,32,0,121.21635,24.863869,21
湖口,新竹縣,37,,良好,0.4,0.15,44.5,40,46,10,5.9,7.1,1.2,6.3,72,2021-10-05 11:00,,0.1,10,35,0,121.038653,24.900142,22
竹東,新竹縣,40,,良好,0.7,0.2,45.7,26,18,7,4.8,5.4,0.5,2.2,210,2021-10-05 11:00,,0.2,12,21,1,121.088903,24.740644,23
新竹,新竹市,36,,良好,,,45.1,39,,,,,,2.8,78,2021-10-05 11:00,,0.1,9,27,1,120.972075,24.805619,24
頭份,苗栗縣,63,細懸浮微粒,普通,1.3,0.23,,29,,13,6.2,7.6,1.4,1.3,84,2021-10-05 11:00,,0.2,20,33,1,120.898572,24.696969,25
苗栗,苗栗縣,97,細懸浮微粒,普通,3.8,0.43,77.1,34,63,44,12.3,13.8,1.5,1.9,326,2021-10-05 11:00,,0.3,34,48,2,120.8202,24.565269,26
三義,苗栗縣,92,細懸浮微粒,普通,6.3,0.51,88.5,43,75,37,7.8,9.2,1.3,2,192,2021-10-05 11:00,,0.3,32,51,2,120.758833,24.382942,27
豐原,臺中市,108,細懸浮微粒,對敏感族群不健康,3.5,0.55,88.6,40,73,51,14.7,16.5,1.8,2.2,224,2021-10-05 11:00,,0.4,38,55,2,120.741711,24.256586,28
