SiteName,County,AQI,Pollutant,Status,SO2,CO,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,DataCreationDate,Unit,CO_8hr,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
基隆,基隆市,45,,良好,2.2,0.24,8.8,22,22,13,12.9,14.6,1.6,0.8,286,2021-05-18 00:00,,0.2,14,25,3,121.760056,25.129167,1
汐止,新北市,49,,良好,1.7,0.29,18.1,32,19,13,15.8,16.8,1,1.1,22,2021-05-18 00:00,,0.3,15,24,2,121.6423,25.067131,2
萬里,新北市,46,,良好,2,0.18,17.2,31,20,13,3.9,4.8,0.9,2.4,208,2021-05-18 00:00,,0.2,14,23,3,121.689881,25.179667,3
新店,新北市,53,細懸浮微粒,普通,3.5,0.2,28.4,35,22,14,4.1,5.2,1.2,1.9,169,2021-05-18 00:00,,0.3,16,26,3,121.537778,24.977222,4
土城,新北市,49,,良好,1.7,0.38,8.1,33,26,13,20.3,22,1.7,1.1,181,2021-05-18 00:00,,0.3,15,29,2,121.451861,24.982528,5
板橋,新北市,37,,良好,3.2,0.23,14.1,27,22,8,15.3,16.2,0.9,1.1,78,2021-05-18 00:00,,0.3,12,25,3,121.458667,25.012972,6
新莊,新北市,42,,良好,2.2,0.17,17.7,31,22,10,8.9,9.5,0.6,1.9,3,2021-05-18 00:00,,0.3,13,23,3,121.4325,25.037972,7
菜寮,新北市,42,,良好,2.1,0.2,17.4,32,21,10,10.2,11.3,1,1,294,2021-05-18 00:00,,0.3,13,27,3,121.481028,25.06895,8
林口,新北市,43,,良好,2.9,0.12,21.6,31,13,9,4.5,5.1,0.6,0.6,352,2021-05-18 00:00,,0.2,13,21,4,121.376869,25.077197,9
淡水,新北市,36,,良好,1.5,0.19,16.4,31,17,11,7.3,7.8,0.5,0.5,100,2021-05-18 00:00,,0.1,11,21,2,121.449239,25.1645,10
士林,臺北市,40,,良好,2.8,0.18,22.1,35,19,7,8.3,7.9,0,0.7,180,2021-05-18 00:00,,0.2,12,26,3,121.515389,25.105417,11
中山,臺北市,45,,良好,1.5,0.24,22.2,27,13,12,,,,1.4,354,2021-05-18 00:00,,0.4,14,23,3,121.526528,25.062361,12
萬華,臺北市,47,,良好,1.3,0.2,19.2,28,22,11,11.3,11.7,0.3,0.7,286,2021-05-18 00:00,,0.3,14,26,2,121.507972,25.046503,13
古亭,臺北市,44,,良好,2.2,0.25,19.4,32,22,10,10.5,10.9,0.3,1.5,137,2021-05-18 00:00,,0.3,13,25,3,121.529556,25.020608,14
松山,臺北市,51,細懸浮微粒,普通,2,0.2,22.2,31,18,14,9.4,10.2,0.7,1,61,2021-05-18 00:00,,0.3,16,26,3,121.578611,25.05,15
大同,臺北市,54,細懸浮微粒,普通,2.3,0.48,-,-,24,13,10.4,13.5,3.1,-,-,2021-05-18 00:00,,0.7,17,31,3,121.513311,25.0632,16
桃園,桃園市,38,,良好,4.5,0.13,17.1,32,25,7,9.3,9.9,0.6,1,38,2021-05-18 00:00,,0.3,12,24,5,121.30872222,24.98677778,17
大園,桃園市,39,,良好,0.5,0.12,16.5,23,17,9,10.2,12.4,2.3,1.8,176,2021-05-18 00:00,,0.2,12,20,2,121.201811,25.060344,18
觀音,桃園市,27,,良好,1.7,0.12,17.6,23,18,6,6.2,7.1,0.8,0.5,165,2021-05-18 00:00,,0.1,8,19,2,121.082761,25.035503,19
平鎮,桃園市,37,,良好,3,0.16,15.8,25,16,9,7.5,8.4,0.8,0.5,278,2021-05-18 00:00,,0.3,12,20,3,121.203986,24.952786,20
龍潭,桃園市,47,,良好,1.5,0.13,20.3,33,19,9,7.4,7.7,0.3,1.5,37,2021-05-18 00:00,,0.3,14,26,1,121.21635,24.863869,21
湖口,新竹縣,25,,良好,2.4,,22.7,26,19,6,3.8,4.6,0.8,0.6,248,2021-05-18 00:00,,0.2,8,18,3,121.038653,24.900142,22
竹東,新竹縣,35,,良好,1.3,0.25,7.8,18,30,10,10.4,12.6,2.2,0.8,143,2021-05-18 00:00,,0.3,11,21,1,121.088903,24.740644,23
新竹,新竹市,22,,良好,1.6,0.14,20.3,23,18,5,5.9,6.6,0.7,1.1,243,2021-05-18 00:00,,0.2,7,17,2,120.972075,24.805619,24
頭份,苗栗縣,32,,良好,1,0.05,16.3,18,20,9,3,4.2,1.2,1.6,342,2021-05-18 00:00,,0.1,10,19,2,120.898572,24.696969,25
苗栗,苗栗縣,30,,良好,3.4,0.17,9.7,14,16,9,9.5,10.1,0.6,1.1,299,2021-05-18 00:00,,0.2,9,18,3,120.8202,24.565269,26
三義,苗栗縣,44,,良好,3.9,0.27,4.5,12,26,16,23.5,37.4,13.9,1.3,190,2021-05-18 00:00,,0.3,13,28,5,120.758833,24.382942,27
豐原,臺中市,45,,良好,1.4,0.24,9.7,20,24,11,14.6,15.3,0.7,1.6,103,2021-05-18 00:00,,0.3,14,28,2,120.741711,24.256586,28
沙鹿,臺中市,27,,良好,2,0.29,7.9,18,21,9,14.5,15.8,1.3,0.5,222,2021-05-18 00:00,,0.2,8,20,2,120.568794,24.225628,29
大里,臺中市,34,,良好,3.2,0.26,4.9,15,32,13,11.6,13.3,1.7,1.5,257,2021-05-18 00:00,,0.3,10,30,3,120.67844444,24.09961111,30
忠明,臺中市,40,,良好,,0.2,12.3,16,27,15,10.3,11.7,1.4,1.9,195,2021-05-18 00:00,,0.2,12,23,2,120.641092,24.151958,31
西屯,臺中市,52,細懸浮微粒,普通,6,0.18,12.1,22,29,18,12.9,14,1.1,1.1,188,2021-05-18 00:00,,0.2,16,25,5,120.616917,24.162197,32
彰化,彰化縣,48,,良好,11.2,0.26,9.7,19,29,17,10.8,14.2,3.3,1.3,184,2021-05-18 00:00,,0.2,15,24,5,120.541519,24.066,33
線西,彰化縣,34,,良好,1.3,0.16,9.6,22,31,17,6.1,7.4,1.3,1.5,223,2021-05-18 00:00,,0.1,10,22,2,120.469061,24.131672,34
二林,彰化縣,36,,良好,0,0.17,4.9,13,29,12,10.3,12.4,2.1,1.2,193,2021-05-18 00:00,,0.1,11,26,0,120.409653,23.925175,35
南投,南投縣,42,,良好,3,0.24,6.4,24,24,10,13.5,15.7,2.2,1.6,159,2021-05-18 00:00,,0.2,13,28,3,120.685306,23.913,36
斗六,雲林縣,34,,良好,1.8,0.21,16.4,21,20,13,6,7.4,1.5,1.1,176,2021-05-18 00:00,,0.3,10,22,3,120.544994,23.711853,37
崙背,雲林縣,44,,良好,1.2,0.16,10.9,17,20,12,6.3,8.6,2.3,0.7,193,2021-05-18 00:00,,0.2,14,25,1,120.348742,23.757547,38
新港,嘉義縣,34,,良好,0.5,0.16,14.2,18,16,11,5.1,5.3,0.3,0.7,175,2021-05-18 00:00,,0.2,10,24,1,120.345531,23.554839,39
朴子,嘉義縣,30,,良好,1.3,0.19,10.9,16,19,11,2.4,3.4,1,1,166,2021-05-18 00:00,,0.3,9,18,1,120.24781111,23.46712222,40
臺西,雲林縣,28,,良好,2,0.12,14.8,23,21,11,4.4,5.5,1.1,1.7,196,2021-05-18 00:00,,0.1,9,16,2,120.19933333,23.702175,41
