SiteName,County,AQI,Pollutant,Status,SO2,CO,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,DataCreationDate,Unit,CO_8hr,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
萬華,臺北市,19,,良好,3.4,0.4,21.6,12,23,6,,,,1.3,274,2021-06-30 09:00,,0.2,6,17,2,121.507972,25.046503,13
古亭,臺北市,28,,良好,2.8,0.41,18.1,9,19,9,12.5,20.1,7.6,1.4,224,2021-06-30 09:00,,0.2,8,19,2,121.529556,25.020608,14
松山,臺北市,26,,良好,2.7,0.49,16.1,11,17,9,18,38.8,20.8,1.7,223,2021-06-30 09:00,,0.3,8,15,2,121.578611,25.05,15
大同,臺北市,36,,良好,4.4,3.44,-,-,28,16,30.7,121.2,90.5,-,-,2021-06-30 09:00,,1.3,11,21,2,121.513311,25.0632,16
桃園,桃園市,34,,良好,1,0.24,19.1,16,54,24,15.1,29.5,14.4,,,2021-06-30 09:00,,0.1,10,24,1,121.30872222,24.98677778,17
大園,桃園市,31,,良好,2.1,0.14,28.1,26,22,10,3.1,7,3.9,6.9,237,2021-06-30 09:00,,0.1,10,22,2,121.201811,25.060344,18
觀音,桃園市,28,,良好,2.3,0.13,25.4,22,27,8,3.4,6.4,3,8.6,242,2021-06-30 09:00,,0.1,8,26,2,121.082761,25.035503,19
平鎮,桃園市,36,,良好,3.2,0.16,23.2,18,21,15,6,9.4,3.4,3.4,247,2021-06-30 09:00,,0.1,11,18,3,121.203986,24.952786,20
龍潭,桃園市,25,,良好,1.6,0.18,28,19,18,7,3.8,7,3.2,6.7,243,2021-06-30 09:00,,0.1,8,16,2,121.21635,24.863869,21
湖口,新竹縣,31,,良好,2.4,0.16,25.3,24,26,10,8,15.7,7.7,6,224,2021-06-30 09:00,,0.1,10,21,2,121.038653,24.900142,22
竹東,新竹縣,26,,良好,0.5,0.13,26.1,12,16,11,2.6,2.9,0.3,3.6,230,2021-06-30 09:00,,0.1,8,13,1,121.088903,24.740644,23
新竹,新竹市,33,,良好,1.7,0.2,25.2,24,25,11,5.5,7.8,2.3,3.4,251,2021-06-30 09:00,,0.1,10,21,1,120.972075,24.805619,24
頭份,苗栗縣,26,,良好,2.6,0.16,22,20,25,10,3.6,6.2,2.6,4.4,235,2021-06-30 09:00,,0.1,8,23,4,120.898572,24.696969,25
