SiteName,County,AQI,Pollutant,Status,SO2,CO,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,DataCreationDate,Unit,CO_8hr,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
苗栗,苗栗縣,69,細懸浮微粒,普通,3.8,0.32,32.4,25,44,24,8.8,11.9,3.1,3,264,2021-03-28 13:00,,0.3,23,38,3,120.8202,24.565269,26
三義,苗栗縣,67,細懸浮微粒,普通,4,0.31,40.2,28,49,26,6.2,7.8,1.6,3.4,264,2021-03-28 13:00,,0.3,22,40,3,120.758833,24.382942,27
大里,臺中市,,,,,,,,,,,,,,,2021-03-28 19:00,,,,,,120.677689,24.099611,30
忠明,臺中市,57,細懸浮微粒,普通,0.5,0.33,26.3,33,32,18,11.5,11.7,0.3,0.6,171,2021-03-28 19:00,,0.2,18,32,1,120.641092,24.151958,31
西屯,臺中市,71,細懸浮微粒,普通,1.8,0.27,28.7,34,34,24,6.5,7.4,0.9,1.6,203,2021-03-28 19:00,,0.2,24,36,2,120.616917,24.162197,32
彰化,彰化縣,52,細懸浮微粒,普通,4.1,0.31,37.1,43,34,15,6.5,6.7,0.3,1.3,187,2021-03-28 19:00,,0.3,16,30,5,120.541519,24.066,33
線西,彰化縣,65,細懸浮微粒,普通,1.6,0.24,41.1,44,34,21,1.7,2.9,1.3,1.9,205,2021-03-28 19:00,,0.2,21,43,2,120.469061,24.131672,34
二林,彰化縣,67,細懸浮微粒,普通,2.6,0.24,26.7,28,60,22,5.5,6.3,0.9,0.7,271,2021-03-28 19:00,,0.2,22,51,4,120.409653,23.925175,35
南投,南投縣,66,細懸浮微粒,普通,2.5,0.32,33.5,42,36,24,9.3,10.5,1.2,1.2,250,2021-03-28 19:00,,0.2,22,35,3,120.685306,23.913,36
斗六,雲林縣,57,細懸浮微粒,普通,2.6,0.37,36.3,42,35,19,5,7.1,2.1,1.6,217,2021-03-28 19:00,,0.3,18,32,3,120.544994,23.711853,37
崙背,雲林縣,64,細懸浮微粒,普通,1.8,0.25,36.9,37,41,22,5.8,6.5,0.7,0.5,197,2021-03-28 19:00,,0.2,21,40,3,120.348742,23.757547,38
新港,嘉義縣,56,細懸浮微粒,普通,1.5,0.32,40.5,37,36,19,6.1,7,0.9,1.2,174,2021-03-28 19:00,,0.2,18,33,2,120.345531,23.554839,39
朴子,嘉義縣,58,細懸浮微粒,普通,1,0.34,37.7,33,35,17,6.6,8.9,2.2,1.3,238,2021-03-28 19:00,,0.2,18,34,1,120.24781111,23.46712222,40
臺西,雲林縣,53,細懸浮微粒,普通,1.8,0.25,44.2,46,30,16,7.8,9.6,1.7,2.1,217,2021-03-28 19:00,,0.2,16,31,2,120.19933333,23.702175,41
嘉義,嘉義市,55,細懸浮微粒,普通,0.5,0.31,29.1,31,34,23,7.5,9.3,1.8,1.4,226,2021-03-28 19:00,,0.2,17,30,1,120.44083333,23.462778,42
基隆,基隆市,75,細懸浮微粒,普通,1,0.26,39,32,26,21,6.5,7.2,0.7,0.5,316,2021-03-28 23:00,,0.3,25,45,2,121.760056,25.129167,1
汐止,新北市,90,細懸浮微粒,普通,2.1,0.3,22.7,26,46,39,16.6,18.6,2,1.9,17,2021-03-28 23:00,,0.5,32,47,2,121.6423,25.067131,2
萬里,新北市,73,細懸浮微粒,普通,2.6,0.23,45.3,38,50,28,4.7,5.6,0.9,1.5,256,2021-03-28 23:00,,0.2,24,59,3,121.689881,25.179667,3
新店,新北市,76,細懸浮微粒,普通,2.7,0.78,1.7,18,53,33,33.2,41.3,8.1,0.9,313,2021-03-28 23:00,,0.6,26,39,2,121.537778,24.977222,4
土城,新北市,68,細懸浮微粒,普通,2.9,0.71,4.3,18,57,29,30.2,34.4,4.1,1.3,281,2021-03-28 23:00,,0.6,22,43,2,121.451861,24.982528,5
板橋,新北市,77,細懸浮微粒,普通,0.5,0.73,4.2,11,52,27,32,34.3,2.3,1.2,340,2021-03-28 23:00,,0.9,26,51,2,121.458667,25.012972,6
新莊,新北市,79,細懸浮微粒,普通,2.3,0.52,5.1,18,38,27,28.5,31.4,2.9,1.9,11,2021-03-28 23:00,,0.5,27,40,3,121.4325,25.037972,7
菜寮,新北市,80,細懸浮微粒,普通,1.5,0.51,12.1,25,49,27,20,21.1,1.1,0.7,355,2021-03-28 23:00,,0.5,27,49,2,121.481028,25.06895,8
林口,新北市,70,細懸浮微粒,普通,1.2,0.34,7,24,30,22,18.3,22.3,4.1,1.2,235,2021-03-28 23:00,,0.3,23,39,2,121.376869,25.077197,9
淡水,新北市,71,細懸浮微粒,普通,1.3,0.27,26.7,30,46,23,6.2,8.2,2,,,2021-03-28 23:00,,0.3,24,42,2,121.449239,25.1645,10
士林,臺北市,76,細懸浮微粒,普通,2.5,0.43,10,16,53,29,18.7,19.9,1.3,0.9,274,2021-03-28 23:00,,0.4,26,47,3,121.515389,25.105417,11
中山,臺北市,79,細懸浮微粒,普通,2.4,0.63,5.7,15,51,30,29.4,37.1,7.7,1.1,89,2021-03-28 23:00,,0.7,27,46,2,121.526528,25.062361,12
萬華,臺北市,80,細懸浮微粒,普通,3.5,0.63,1.3,14,58,31,33.9,45.9,12.1,0.8,50,2021-03-28 23:00,,0.8,27,54,1,121.507972,25.046503,13
古亭,臺北市,84,細懸浮微粒,普通,4.1,0.51,4.8,17,57,34,27.9,30.5,2.6,0.5,188,2021-03-28 23:00,,0.6,29,47,2,121.529556,25.020608,14
松山,臺北市,87,細懸浮微粒,普通,1.2,0.4,12.3,19,55,35,21.6,22.7,1.1,1.7,42,2021-03-28 23:00,,0.5,30,50,1,121.578611,25.05,15
大同,臺北市,78,細懸浮微粒,普通,4.1,0.54,-,-,35,24,25.6,42.9,17.2,-,-,2021-03-28 23:00,,1,26,43,3,121.513311,25.0632,16
桃園,桃園市,84,細懸浮微粒,普通,2.6,0.3,22.5,25,47,32,14.6,15.9,1.3,0.7,230,2021-03-28 23:00,,0.4,29,49,9,121.30872222,24.98677778,17
大園,桃園市,70,細懸浮微粒,普通,1.8,0.26,32,34,31,26,11,14.6,3.6,0.8,177,2021-03-28 23:00,,0.3,23,37,3,121.201811,25.060344,18
觀音,桃園市,56,細懸浮微粒,普通,3.2,0.21,36.5,33,25,14,5.2,5.7,0.3,0.6,310,2021-03-28 23:00,,0.2,18,30,4,121.082761,25.035503,19
平鎮,桃園市,81,細懸浮微粒,普通,1.6,0.32,19.3,26,45,29,11.9,13.7,1.8,0.6,287,2021-03-28 23:00,,0.3,28,48,2,121.203986,24.952786,20
龍潭,桃園市,86,細懸浮微粒,普通,1.8,0.55,2.7,23,62,40,28.6,34.2,5.6,0.6,310,2021-03-28 23:00,,0.4,30,50,2,121.21635,24.863869,21
湖口,新竹縣,84,細懸浮微粒,普通,2.4,0.33,,35,59,38,11.6,12.6,1.1,0.9,13,2021-03-28 23:00,,0.3,29,51,3,121.038653,24.900142,22
竹東,新竹縣,73,細懸浮微粒,普通,2.2,0.4,5.1,22,30,23,16.2,18.4,2.3,0.4,49,2021-03-28 23:00,,0.4,25,34,2,121.088903,24.740644,23
新竹,新竹市,74,細懸浮微粒,普通,1.5,0.42,19.5,30,70,33,18.2,19.4,1.2,0.8,320,2021-03-28 23:00,,0.4,25,47,3,120.972075,24.805619,24
頭份,苗栗縣,67,細懸浮微粒,普通,3.7,0.33,14.9,24,55,32,15.9,17.8,1.9,1,347,2021-03-28 23:00,,0.3,22,46,3,120.898572,24.696969,25
