SiteName,County,AQI,Pollutant,Status,SO2,CO,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,DataCreationDate,Unit,CO_8hr,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
古亭,臺北市,82,細懸浮微粒,普通,6,0.76,38.4,57,46,28,37.8,39,1.3,0.9,143,2021-03-27 19:00,,0.5,28,45,2,121.529556,25.020608,14
松山,臺北市,89,細懸浮微粒,普通,6,0.73,31.9,61,55,34,41.5,43.8,2.3,1.1,69,2021-03-27 19:00,,0.4,31,46,2,121.578611,25.05,15
大同,臺北市,93,細懸浮微粒,普通,5,1.3,-,-,54,34,50.8,75.8,25,-,-,2021-03-27 19:00,,1.2,33,56,4,121.513311,25.0632,16
桃園,桃園市,64,細懸浮微粒,普通,3.6,0.4,43.4,57,45,24,17.7,17.6,0,1.2,312,2021-03-27 19:00,,0.3,21,39,4,121.30872222,24.98677778,17
大園,桃園市,71,細懸浮微粒,普通,3.7,0.33,48.4,58,39,24,11.6,13.7,2,3.2,264,2021-03-27 19:00,,0.3,24,38,3,121.201811,25.060344,18
觀音,桃園市,,,,,,,,,,,,,,,2021-03-27 19:00,,,,,,121.082761,25.035503,19
平鎮,桃園市,72,細懸浮微粒,普通,4.2,0.42,38.6,55,49,32,18.7,21.1,2.4,1.7,258,2021-03-27 19:00,,0.3,24,39,3,121.203986,24.952786,20
龍潭,桃園市,71,臭氧八小時,普通,2.6,0.42,48.4,61,42,20,13.6,15.2,1.6,1.9,244,2021-03-27 19:00,,0.3,19,37,2,121.21635,24.863869,21
湖口,新竹縣,67,細懸浮微粒,普通,2.5,0.26,52.5,59,39,22,8.1,8.6,0.3,1.6,240,2021-03-27 19:00,,0.3,22,36,3,121.038653,24.900142,22
竹東,新竹縣,71,細懸浮微粒,普通,0.5,0.49,36.4,60,46,30,23,23.4,0.3,1.4,331,2021-03-27 19:00,,0.3,24,38,2,121.088903,24.740644,23
新竹,新竹市,59,細懸浮微粒,普通,2.5,0.44,43.2,53,38,21,18.9,19.8,0.9,1.8,285,2021-03-27 19:00,,0.4,19,36,2,120.972075,24.805619,24
汐止,新北市,52,細懸浮微粒,普通,2.7,0.81,3.8,9,34,20,22.7,62.1,39.5,0.6,176,2021-03-27 01:00,,0.6,16,29,4,121.6423,25.067131,2
萬里,新北市,37,,良好,2.5,0.2,24,24,16,8,2.5,3.9,1.4,0.7,158,2021-03-27 01:00,,0.2,11,26,2,121.689881,25.179667,3
新店,新北市,53,細懸浮微粒,普通,1.5,0.4,,,18,21,12.7,14.9,2.3,1.7,197,2021-03-27 01:00,,0.5,16,23,2,121.537778,24.977222,4
土城,新北市,64,細懸浮微粒,普通,3.1,0.73,1.9,13,53,23,30.9,51,20.1,0.9,152,2021-03-27 01:00,,0.7,21,45,3,121.451861,24.982528,5
板橋,新北市,63,細懸浮微粒,普通,5.1,1.03,0,10,53,29,38.4,70.6,32.3,1.3,264,2021-03-27 01:00,,0.8,20,38,2,121.458667,25.012972,6
新莊,新北市,65,細懸浮微粒,普通,10.4,1.14,2,8,53,26,32.7,61.8,29.1,0.5,182,2021-03-27 01:00,,0.9,21,42,3,121.4325,25.037972,7
菜寮,新北市,58,細懸浮微粒,普通,3.9,1.06,0.5,10,33,22,36.6,62.5,25.9,0.6,284,2021-03-27 01:00,,0.8,18,33,4,121.481028,25.06895,8
基隆,基隆市,87,細懸浮微粒,普通,1.8,0.69,3.9,35,32,24,26.9,29.9,3,0.4,312,2021-03-27 23:00,,0.5,30,39,2,121.760056,25.129167,1
汐止,新北市,93,細懸浮微粒,普通,3,0.81,4.2,31,41,31,29.5,43.8,14.3,0.7,40,2021-03-27 23:00,,0.7,33,46,4,121.6423,25.067131,2
萬里,新北市,78,細懸浮微粒,普通,2.9,0.4,15.9,45,25,24,12.8,14,1.2,3.2,224,2021-03-27 23:00,,0.4,26,41,3,121.689881,25.179667,3
新店,新北市,75,細懸浮微粒,普通,0.5,0.52,15.2,36,28,21,15.6,18.5,2.9,1.3,148,2021-03-27 23:00,,0.7,25,38,1,121.537778,24.977222,4
土城,新北市,84,細懸浮微粒,普通,3.4,1.09,2.4,26,51,35,38,52.4,14.4,0.8,134,2021-03-27 23:00,,0.9,29,50,2,121.451861,24.982528,5
板橋,新北市,85,細懸浮微粒,普通,5.3,1.15,2.1,21,56,28,49.4,57,7.6,0.4,345,2021-03-27 23:00,,1,30,54,3,121.458667,25.012972,6
新莊,新北市,85,細懸浮微粒,普通,7.7,0.85,10.8,26,48,33,32.1,35.9,3.8,0.7,7,2021-03-27 23:00,,0.7,30,51,6,121.4325,25.037972,7
菜寮,新北市,73,細懸浮微粒,普通,2.5,0.98,6.2,34,47,27,41.4,44.5,3.1,0.8,90,2021-03-27 23:00,,0.6,24,43,3,121.481028,25.06895,8
林口,新北市,71,細懸浮微粒,普通,4,0.68,13.2,43,55,33,36.5,39.8,3.3,1.3,128,2021-03-27 23:00,,0.4,24,44,3,121.376869,25.077197,9
淡水,新北市,64,細懸浮微粒,普通,2.9,0.53,20.2,38,36,20,21.6,22.3,0.6,,,2021-03-27 23:00,,0.4,21,39,3,121.449239,25.1645,10
士林,臺北市,68,細懸浮微粒,普通,2.4,0.72,5.3,28,41,22,30.7,34,3.3,1.1,107,2021-03-27 23:00,,0.5,22,44,2,121.515389,25.105417,11
中山,臺北市,75,細懸浮微粒,普通,3.4,1.25,6.2,28,41,,45.7,61,15.2,0.6,95,2021-03-27 23:00,,0.9,25,42,3,121.526528,25.062361,12
萬華,臺北市,71,細懸浮微粒,普通,3.1,1.05,4.8,26,52,25,45.1,56.3,11.2,0.9,149,2021-03-27 23:00,,0.9,24,47,3,121.507972,25.046503,13
古亭,臺北市,82,細懸浮微粒,普通,2.3,0.7,7.5,33,39,27,27.1,30.2,3.1,1.2,172,2021-03-27 23:00,,0.7,28,44,3,121.529556,25.020608,14
松山,臺北市,87,細懸浮微粒,普通,2.3,1.06,3.6,35,46,27,45.8,68.3,22.6,0.9,178,2021-03-27 23:00,,0.7,30,48,2,121.578611,25.05,15
大同,臺北市,79,細懸浮微粒,普通,3.5,1.56,-,-,47,31,37,60.6,23.6,-,-,2021-03-27 23:00,,1.2,27,48,4,121.513311,25.0632,16
桃園,桃園市,73,細懸浮微粒,普通,4.9,0.63,15.1,42,56,33,29.8,29.9,0.3,0.6,202,2021-03-27 23:00,,0.4,24,44,3,121.30872222,24.98677778,17
大園,桃園市,63,細懸浮微粒,普通,3.7,0.44,24.8,48,41,24,16.3,19.1,2.8,1.1,156,2021-03-27 23:00,,0.3,20,35,3,121.201811,25.060344,18
觀音,桃園市,56,細懸浮微粒,普通,2.8,0.27,28.2,38,39,21,11,11.4,0.3,0.8,181,2021-03-27 23:00,,0.2,17,37,,121.082761,25.035503,19
平鎮,桃園市,70,細懸浮微粒,普通,2.4,0.52,27.3,43,44,28,17.1,20.1,3,0.8,197,2021-03-27 23:00,,0.4,23,39,3,121.203986,24.952786,20
龍潭,桃園市,68,細懸浮微粒,普通,2.3,0.44,28.4,47,40,26,16.4,18,1.6,1.4,163,2021-03-27 23:00,,0.4,23,40,2,121.21635,24.863869,21
湖口,新竹縣,59,細懸浮微粒,普通,2.6,0.33,35.6,50,35,18,12.8,13.7,0.9,1.1,109,2021-03-27 23:00,,0.3,19,34,3,121.038653,24.900142,22
竹東,新竹縣,74,細懸浮微粒,普通,1.6,0.46,19.3,39,38,24,15.6,16.1,0.5,1.7,139,2021-03-27 23:00,,0.4,25,39,1,121.088903,24.740644,23
新竹,新竹市,58,細懸浮微粒,普通,1.6,0.52,24.5,45,39,22,25.8,26.7,0.9,1.1,95,2021-03-27 23:00,,0.4,18,35,2,120.972075,24.805619,24
頭份,苗栗縣,65,細懸浮微粒,普通,1.8,0.44,19.4,36,50,25,14.5,15,0.6,1.3,109,2021-03-27 23:00,,0.3,21,40,2,120.898572,24.696969,25
苗栗,苗栗縣,67,細懸浮微粒,普通,3.2,0.54,13,31,42,28,21.7,22.3,0.6,0.6,0,2021-03-27 23:00,,0.4,22,38,3,120.8202,24.565269,26
三義,苗栗縣,75,細懸浮微粒,普通,3.3,0.4,19.9,25,56,29,17,18.5,1.5,2,216,2021-03-27 23:00,,0.3,25,49,3,120.758833,24.382942,27
豐原,臺中市,80,細懸浮微粒,普通,1.8,0.48,19.5,28,49,33,18.3,20,1.6,0.7,161,2021-03-27 23:00,,0.4,27,45,2,120.741711,24.256586,28
沙鹿,臺中市,70,細懸浮微粒,普通,1.7,0.42,29.1,44,33,16,12.2,13.3,1.1,2.3,184,2021-03-27 23:00,,0.4,23,48,4,120.568794,24.225628,29
大里,臺中市,,,,,,,,,,,,,,,2021-03-27 23:00,,,,,,120.677689,24.099611,30
忠明,臺中市,68,細懸浮微粒,普通,2.2,0.52,23.4,35,42,17,21.8,22.5,0.7,1.4,198,2021-03-27 23:00,,0.4,23,43,2,120.641092,24.151958,31
西屯,臺中市,78,細懸浮微粒,普通,2.3,0.51,15.1,36,39,26,28.2,29.2,1,1.5,197,2021-03-27 23:00,,0.3,26,46,2,120.616917,24.162197,32
彰化,彰化縣,83,細懸浮微粒,普通,3.6,0.55,25.8,47,48,31,,,,0.9,190,2021-03-27 23:00,,0.4,28,45,3,120.541519,24.066,33
線西,彰化縣,67,細懸浮微粒,普通,0.5,0.3,40.6,52,44,26,5.1,6.1,1,2,196,2021-03-27 23:00,,0.3,22,35,2,120.469061,24.131672,34
二林,彰化縣,105,細懸浮微粒,對敏感族群不健康,5,0.32,19.7,32,72,42,20.6,21.6,1,0.9,181,2021-03-27 23:00,,0.3,37,69,5,120.409653,23.925175,35
南投,南投縣,117,細懸浮微粒,對敏感族群不健康,2.8,0.48,15.9,44,67,48,17.4,19.3,1.9,1.2,174,2021-03-27 23:00,,0.4,42,61,3,120.685306,23.913,36
斗六,雲林縣,110,細懸浮微粒,對敏感族群不健康,3.3,0.46,23.8,54,69,48,13.1,15.6,2.5,0.7,128,2021-03-27 23:00,,0.4,39,61,4,120.544994,23.711853,37
崙背,雲林縣,75,細懸浮微粒,普通,1.8,0.26,24,43,58,27,9.6,9.8,0.3,0.8,153,2021-03-27 23:00,,0.2,25,51,3,120.348742,23.757547,38
新港,嘉義縣,80,細懸浮微粒,普通,1.3,0.31,29,45,45,26,13.8,14.4,0.6,1.6,101,2021-03-27 23:00,,0.3,27,49,2,120.345531,23.554839,39
