SiteName,County,AQI,Pollutant,Status,SO2,CO,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,DataCreationDate,Unit,CO_8hr,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
竹山,南投縣,111,細懸浮微粒,對敏感族群不健康,3.2,0.34,30,20,12,13,13,14.7,1.7,1.8,17,2021-03-24 09:00,,0.4,39,51,5,120.677306,23.756389,69
永和,新北市,50,,良好,2.9,1.87,10.6,11,17,17,38.8,83.2,44.4,1.5,285,2021-03-24 09:00,,0.9,15,17,1,121.516306,25.017,70
復興,高雄市,113,細懸浮微粒,對敏感族群不健康,3.2,1.19,12.1,19,62,49,28.5,42.1,13.7,1.3,295,2021-03-24 09:00,,0.6,40,59,3,120.312017,22.608711,71
埔里,南投縣,73,細懸浮微粒,普通,2.1,0.37,27.8,33,23,19,9.9,11.1,1.2,1.9,300,2021-03-24 09:00,,0.3,24,33,1,120.967903,23.968842,72
馬祖,連江縣,48,,良好,0.5,0.25,31.1,29,17,17,8.1,11.5,3.5,4.3,194,2021-03-24 09:00,,0.3,15,20,1,119.949875,26.160469,75
金門,金門縣,79,細懸浮微粒,普通,2.9,0.35,18.9,26,40,36,15.8,20.8,4.9,1.4,253,2021-03-24 09:00,,0.3,27,33,3,118.312256,24.432133,77
馬公,澎湖縣,47,,良好,1.5,0.26,47.3,51,5,8,4.1,4.8,0.7,3.9,340,2021-03-24 09:00,,0.2,10,12,2,119.566158,23.569031,78
關山,臺東縣,23,,良好,,-,16.5,25,13,7,5.2,8.9,3.8,0.6,148,2021-03-24 09:00,,-,7,11,,121.161933,23.045083,80
新店,新北市,57,細懸浮微粒,普通,2.1,0.65,13.2,28,37,21,24.1,30.1,6.1,1.3,195,2021-03-24 20:00,,0.5,18,29,2,121.537778,24.977222,4
土城,新北市,56,細懸浮微粒,普通,2,0.73,4.2,20,45,23,35.3,48.2,12.9,1,136,2021-03-24 20:00,,0.6,18,35,2,121.451861,24.982528,5
彰化(員林),彰化縣,33,,良好,1,0.37,42.2,36,5,4,8.4,8.9,0.5,0.7,73,2021-03-24 15:00,,0.4,7,9,2,120.58178611,23.95058333,201
臺南(麻豆),臺南市,48,,良好,1.1,0.32,43.4,32,12,15,7.8,9.7,1.9,2.9,356,2021-03-24 15:00,,0.3,15,20,1,120.24583056,23.17904722,203
屏東(琉球),屏東縣,118,細懸浮微粒,對敏感族群不健康,,0.92,,25,,37,,,,4.7,325,2021-03-24 15:00,,0.6,42,72,1,120.37722,22.35222,204
基隆,基隆市,62,細懸浮微粒,普通,2.2,0.59,9.7,16,30,15,19.8,22.4,2.6,0.5,289,2021-03-24 23:00,,0.6,20,35,2,121.760056,25.129167,1
汐止,新北市,71,細懸浮微粒,普通,2.3,0.55,3.4,8,35,18,24.2,39.4,15.2,0.9,31,2021-03-24 23:00,,0.7,24,42,2,121.6423,25.067131,2
萬里,新北市,56,細懸浮微粒,普通,2.2,0.28,30.9,44,20,15,5.5,7,1.4,1.9,197,2021-03-24 23:00,,0.3,18,28,2,121.689881,25.179667,3
新店,新北市,64,細懸浮微粒,普通,1.9,0.46,18.4,20,38,19,13.4,16.5,3.2,1.7,185,2021-03-24 23:00,,0.6,21,37,2,121.537778,24.977222,4
土城,新北市,62,細懸浮微粒,普通,1.7,0.66,3.8,8,40,17,28.2,38.6,10.5,1,143,2021-03-24 23:00,,0.7,20,40,2,121.451861,24.982528,5
板橋,新北市,79,細懸浮微粒,普通,2.3,1.02,0.5,10,46,29,40.3,56.8,16.6,0.7,238,2021-03-24 23:00,,0.9,27,51,3,121.458667,25.012972,6
新莊,新北市,76,細懸浮微粒,普通,2.3,0.99,5.1,18,38,23,37.4,51.6,14.3,0.8,4,2021-03-24 23:00,,0.8,26,48,3,121.4325,25.037972,7
菜寮,新北市,77,細懸浮微粒,普通,2.7,1.25,1,23,46,32,36.8,76.8,40,0.6,261,2021-03-24 23:00,,0.7,26,48,2,121.481028,25.06895,8
林口,新北市,62,細懸浮微粒,普通,0.5,0.42,40.7,42,31,16,15,16.5,1.5,1.9,78,2021-03-24 23:00,,0.4,20,40,1,121.376869,25.077197,9
淡水,新北市,66,細懸浮微粒,普通,1.2,0.72,8.3,25,29,19,24.2,28,3.8,,,2021-03-24 23:00,,0.6,22,35,1,121.449239,25.1645,10
士林,臺北市,67,細懸浮微粒,普通,2.3,0.76,2.3,20,32,22,31.6,39.7,8.2,0.7,86,2021-03-24 23:00,,0.5,22,41,2,121.515389,25.105417,11
中山,臺北市,78,細懸浮微粒,普通,3.8,1.45,1.5,15,42,25,39.8,100.9,61.1,0.9,125,2021-03-24 23:00,,1,26,45,2,121.526528,25.062361,12
萬華,臺北市,68,細懸浮微粒,普通,2.7,0.94,1.7,20,43,23,31.4,53.9,22.5,0.8,147,2021-03-24 23:00,,0.8,23,43,2,121.507972,25.046503,13
古亭,臺北市,71,細懸浮微粒,普通,2.4,0.63,5.3,10,35,21,23.3,29.2,5.9,1.6,140,2021-03-24 23:00,,0.7,24,41,2,121.529556,25.020608,14
松山,臺北市,74,細懸浮微粒,普通,3.5,1,1.5,8,43,26,29.2,63,33.8,0.9,38,2021-03-24 23:00,,0.9,25,44,2,121.578611,25.05,15
大同,臺北市,79,細懸浮微粒,普通,3.7,1.92,-,-,58,30,38.3,117.6,79.4,-,-,2021-03-24 23:00,,2.1,27,56,3,121.513311,25.0632,16
桃園,桃園市,83,細懸浮微粒,普通,23,0.93,8.5,20,53,32,36.7,41.5,4.7,0.5,129,2021-03-24 23:00,,0.8,28,52,3,121.30872222,24.98677778,17
大園,桃園市,87,細懸浮微粒,普通,4.5,0.57,20,28,37,29,32.8,35.4,2.6,2.1,129,2021-03-24 23:00,,0.5,30,48,2,121.201811,25.060344,18
觀音,桃園市,70,細懸浮微粒,普通,1.8,0.4,33.3,36,39,17,16.2,16.4,0.3,2.4,96,2021-03-24 23:00,,0.4,23,47,1,121.082761,25.035503,19
平鎮,桃園市,70,細懸浮微粒,普通,4.2,0.78,18.8,21,33,21,29.4,32.1,2.7,1.2,91,2021-03-24 23:00,,0.7,23,41,2,121.203986,24.952786,20
龍潭,桃園市,54,細懸浮微粒,普通,1.7,0.34,28.9,30,34,17,12.7,14.3,1.6,1.2,99,2021-03-24 23:00,,0.4,17,33,2,121.21635,24.863869,21
湖口,新竹縣,72,細懸浮微粒,普通,4.5,0.49,20.9,31,46,30,24.3,27.1,2.8,2,80,2021-03-24 23:00,,0.4,24,43,3,121.038653,24.900142,22
竹東,新竹縣,49,,良好,1,0.32,30.5,30,35,20,7.6,8.4,0.8,1.3,158,2021-03-24 23:00,,0.4,15,27,1,121.088903,24.740644,23
新竹,新竹市,49,,良好,2.2,0.44,28.9,28,37,21,14.5,15.6,1,1.5,65,2021-03-24 23:00,,0.6,15,31,2,120.972075,24.805619,24
頭份,苗栗縣,55,細懸浮微粒,普通,1.3,0.33,26.2,28,40,22,13.3,14.7,1.4,2.4,70,2021-03-24 23:00,,0.4,17,32,1,120.898572,24.696969,25
苗栗,苗栗縣,57,細懸浮微粒,普通,4,0.42,21.3,22,48,20,14.7,16,1.3,1.5,3,2021-03-24 23:00,,0.5,18,35,2,120.8202,24.565269,26
三義,苗栗縣,46,,良好,1.6,0.31,31.1,33,41,20,8.5,10.4,2,4,21,2021-03-24 23:00,,0.3,14,26,2,120.758833,24.382942,27
豐原,臺中市,55,細懸浮微粒,普通,1.4,0.23,47.6,40,43,29,,,,2.9,79,2021-03-24 23:00,,0.3,17,26,2,120.741711,24.256586,28
沙鹿,臺中市,47,,良好,0.5,0.3,46,40,43,20,2.8,3.5,0.7,3.5,7,2021-03-24 23:00,,0.4,14,33,1,120.568794,24.225628,29
大里,臺中市,51,細懸浮微粒,普通,3,0.73,22.3,27,34,17,21.3,21.7,0.3,1.2,59,2021-03-24 23:00,,0.6,16,27,4,120.677689,24.099611,30
忠明,臺中市,55,細懸浮微粒,普通,1.5,0.4,31,28,44,25,14.2,15.3,1.1,1.6,52,2021-03-24 23:00,,0.5,17,30,1,120.641092,24.151958,31
西屯,臺中市,60,細懸浮微粒,普通,1.2,0.27,36.5,31,48,23,8.4,9.9,1.5,2.8,8,2021-03-24 23:00,,0.4,19,34,1,120.616917,24.162197,32
彰化,彰化縣,54,細懸浮微粒,普通,2.7,0.41,37.1,35,46,27,16,17.9,1.9,2.9,12,2021-03-24 23:00,,0.5,17,26,3,120.541519,24.066,33
線西,彰化縣,58,細懸浮微粒,普通,3,0.29,43.3,41,54,25,4.6,5.8,1.2,4.3,44,2021-03-24 23:00,,0.4,18,39,1,120.469061,24.131672,34
二林,彰化縣,51,細懸浮微粒,普通,4.7,0.32,34,32,57,24,9,9.4,0.3,3.7,28,2021-03-24 23:00,,0.3,16,37,5,120.409653,23.925175,35
南投,南投縣,54,細懸浮微粒,普通,2.6,0.53,12.2,20,39,21,22.7,24.6,1.9,0.8,32,2021-03-24 23:00,,0.6,17,28,3,120.685306,23.913,36
斗六,雲林縣,62,細懸浮微粒,普通,2.8,0.46,17.9,29,37,26,13.5,14.9,1.4,1,8,2021-03-24 23:00,,0.4,20,30,3,120.544994,23.711853,37
崙背,雲林縣,56,細懸浮微粒,普通,1.8,0.34,37,36,45,24,7.7,9,1.3,1.4,31,2021-03-24 23:00,,0.4,18,31,2,120.348742,23.757547,38
新港,嘉義縣,53,細懸浮微粒,普通,2.3,0.37,31.7,36,32,14,8.9,10.1,1.2,2.1,7,2021-03-24 23:00,,0.4,16,29,2,120.345531,23.554839,39
朴子,嘉義縣,56,細懸浮微粒,普通,0.5,0.32,30.8,35,36,17,7.2,9.7,2.5,1.8,358,2021-03-24 23:00,,0.4,18,27,1,120.24781111,23.46712222,40
臺西,雲林縣,49,,良好,5.1,0.53,36.1,41,73,23,14.9,16.2,1.3,5,36,2021-03-24 23:00,,0.4,15,34,3,120.19933333,23.702175,41
嘉義,嘉義市,75,細懸浮微粒,普通,1.8,0.48,15.8,25,42,29,19.2,20.7,1.5,1.3,38,2021-03-24 23:00,,0.5,25,36,2,120.44083333,23.462778,42
新營,臺南市,62,細懸浮微粒,普通,2.2,0.45,20.3,33,41,26,18.2,19.8,1.5,2.8,13,2021-03-24 23:00,,0.5,20,34,2,120.31725,23.305633,43
善化,臺南市,,細懸浮微粒,普通,5,0.55,18.8,31,47,31,19,20.3,1.2,3.8,349,2021-03-24 23:00,,0.5,18,30,3,120.297142,23.115097,44
安南,臺南市,73,細懸浮微粒,普通,2.9,0.48,23.7,34,48,37,15.8,16.4,0.6,3.2,337,2021-03-24 23:00,,0.4,24,33,2,120.2175,23.048197,45
臺南,臺南市,68,細懸浮微粒,普通,4,0.55,23.4,33,56,39,19.2,20.9,1.7,2.6,12,2021-03-24 23:00,,0.5,22,35,2,120.202617,22.984581,46
美濃,高雄市,38,,良好,1.3,0.36,20,32,12,10,5.8,6.4,0.6,1.1,122,2021-03-24 23:00,,0.4,12,16,1,120.530542,22.883583,47
橋頭,高雄市,67,細懸浮微粒,普通,2.3,0.53,16.4,28,51,43,17.4,18.4,1,3.9,13,2021-03-24 23:00,,0.5,22,29,2,120.305689,22.757506,48
仁武,高雄市,65,細懸浮微粒,普通,1.7,0.5,16.6,27,44,31,22.7,25.1,2.4,2.5,334,2021-03-24 23:00,,0.5,21,34,2,120.332631,22.689056,49
鳳山,高雄市,63,細懸浮微粒,普通,3.6,0.61,11.8,24,36,26,25.7,29.1,3.3,0.8,166,2021-03-24 23:00,,0.8,20,32,3,120.358083,22.627392,50
大寮,高雄市,65,細懸浮微粒,普通,2.4,0.47,17.2,31,34,22,18.6,20,1.4,2.1,329,2021-03-24 23:00,,0.5,21,33,4,120.425311,22.56413611,51
林園,高雄市,52,細懸浮微粒,普通,3.4,0.6,13.9,33,35,17,33.2,37.6,4.4,3.1,6,2021-03-24 23:00,,0.5,16,33,4,120.41175,22.4795,52
楠梓,高雄市,66,細懸浮微粒,普通,1.8,0.49,16.2,31,49,37,19.8,19.4,0,4.1,342,2021-03-24 23:00,,0.4,21,31,2,120.328289,22.733667,53
左營,高雄市,57,細懸浮微粒,普通,2.6,0.58,19,33,51,29,17.9,18.4,0.3,3.2,5,2021-03-24 23:00,,0.5,18,34,2,120.292917,22.674861,54
前金,高雄市,75,細懸浮微粒,普通,2.6,0.53,21.8,33,45,34,16.4,18.7,2.3,3,357,2021-03-24 23:00,,0.5,25,35,2,120.288086,22.632567,56
前鎮,高雄市,62,細懸浮微粒,普通,1.7,0.66,17.7,28,33,20,19.3,25.2,5.9,3.3,20,2021-03-24 23:00,,0.8,20,33,2,120.307564,22.605386,57
小港,高雄市,62,細懸浮微粒,普通,4.2,0.51,20.4,28,29,22,22,22.5,0.3,2.2,314,2021-03-24 23:00,,0.6,20,31,4,120.337736,22.565833,58
屏東,屏東縣,39,,良好,0.5,0.44,22.4,35,18,13,13.1,14.9,1.8,0.7,15,2021-03-24 23:00,,0.5,12,24,1,120.488033,22.673081,59
潮州,屏東縣,61,細懸浮微粒,普通,1.2,0.4,10.4,31,30,19,16,17.2,1.1,0.5,81,2021-03-24 23:00,,0.4,20,35,2,120.561175,22.523108,60
恆春,屏東縣,44,,良好,0.5,0.16,37.7,48,13,8,1.7,2.6,0.9,5.4,7,2021-03-24 23:00,,0.3,13,19,1,120.788928,21.958069,61
臺東,臺東縣,31,,良好,1.2,0.2,28.9,33,5,6,2.5,2.6,0.3,2.1,319,2021-03-24 23:00,,0.3,4,10,1,121.15045,22.755358,62
花蓮,花蓮縣,27,,良好,1.3,0.42,35.7,21,27,9,7,8.5,1.5,0.9,237,2021-03-24 23:00,,0.5,8,23,1,121.599769,23.971306,63
陽明,臺北市,45,,良好,1.4,0.3,51.2,49,19,15,1.4,2.4,0.9,,,2021-03-24 23:00,,0.3,13,20,1,121.529583,25.182722,64
宜蘭,宜蘭縣,47,,良好,1.5,0.31,48.7,49,22,14,3,4.1,1.1,0.6,270,2021-03-24 23:00,,0.3,15,30,2,121.746394,24.747917,65
冬山,宜蘭縣,50,,良好,1.6,0.3,31,31,37,21,3.8,5.2,1.4,1.1,198,2021-03-24 23:00,,0.4,15,34,2,121.792928,24.632203,66
三重,新北市,85,細懸浮微粒,普通,3.1,1.53,-,-,49,32,38.9,140.2,101.2,-,-,2021-03-24 23:00,,1.8,30,52,3,121.493806,25.072611,67
中壢,桃園市,79,細懸浮微粒,普通,3.4,2.01,3.6,11,47,26,47.1,89.7,42.6,0.6,305,2021-03-24 23:00,,1.6,27,47,2,121.221667,24.953278,68
竹山,南投縣,60,細懸浮微粒,普通,3.2,0.53,11,20,40,31,18.9,22.2,3.2,0.8,17,2021-03-24 23:00,,0.5,19,26,3,120.677306,23.756389,69
永和,新北市,72,細懸浮微粒,普通,1.5,0.82,9.7,10,40,21,22.1,35.8,13.7,1.1,163,2021-03-24 23:00,,1.2,24,45,2,121.516306,25.017,70
復興,高雄市,62,細懸浮微粒,普通,2.4,0.64,17.9,26,27,22,20.6,23.3,2.7,1,169,2021-03-24 23:00,,0.9,20,30,2,120.312017,22.608711,71
埔里,南投縣,23,,良好,3.1,0.42,7.1,21,18,6,13.3,14.7,1.4,1.2,154,2021-03-24 23:00,,0.4,7,14,2,120.967903,23.968842,72
馬祖,連江縣,59,細懸浮微粒,普通,3.3,0.21,40.6,47,24,15,11.3,12,0.7,1.5,16,2021-03-24 23:00,,0.2,19,28,2,119.949875,26.160469,75
金門,金門縣,69,細懸浮微粒,普通,2.8,0.33,44.8,54,44,23,9.5,10.1,0.6,1.4,31,2021-03-24 23:00,,0.3,23,36,3,118.312256,24.432133,77
馬公,澎湖縣,49,,良好,1.6,0.28,55.5,51,52,23,3,3.7,0.7,5.1,35,2021-03-24 23:00,,0.3,15,25,2,119.566158,23.569031,78
關山,臺東縣,26,,良好,1.7,-,23.5,28,5,8,3.9,6.3,2.5,0.5,71,2021-03-24 23:00,,-,8,8,,121.161933,23.045083,80
麥寮,雲林縣,62,細懸浮微粒,普通,0.5,0.35,40.5,37,73,20,2.5,5,2.4,4,8,2021-03-24 23:00,,0.4,20,36,0,120.251825,23.753506,83
富貴角,新北市,58,細懸浮微粒,普通,0.5,0.24,50.7,52,19,12,2,2,0,1.7,160,2021-03-24 23:00,,0.3,18,34,0,121.54738,25.29228,84
大城,彰化縣,78,細懸浮微粒,普通,9.4,-,37.6,43,73,32,31.5,31.2,0,4.9,40,2021-03-24 23:00,,-,26,48,2,120.26964167,23.85493056,85
彰化(員林),彰化縣,43,,良好,1.5,0.44,38.8,39,34,14,11.3,11.5,0.3,0.6,209,2021-03-24 23:00,,0.4,13,23,1,120.58178611,23.95058333,201
臺南(麻豆),臺南市,64,細懸浮微粒,普通,1.9,0.48,20.2,32,36,32,13.9,14.8,0.9,2,11,2021-03-24 23:00,,0.4,21,29,1,120.24583056,23.17904722,203
屏東(琉球),屏東縣,58,細懸浮微粒,普通,3.4,0.52,14.7,32,28,12,29.4,30.2,0.9,4.5,332,2021-03-24 23:00,,0.5,18,32,3,120.37722,22.35222,204
臺南(北門),臺南市,52,細懸浮微粒,普通,1.4,0.33,28.9,30,35,21,9.4,9.7,0.3,3.4,20,2021-03-24 23:00,,0.3,16,23,1,120.12444444,23.26472222,310
新北(樹林),新北市,66,細懸浮微粒,普通,0,0.33,16.2,17,-,20,9.7,11.3,1.6,0.5,101,2021-03-24 23:00,,0.5,22,-,1,121.38352778,24.94902778,311
新竹(北區),新竹市,59,細懸浮微粒,普通,0.5,0.4,20.4,21,36,23,16.1,16.1,0.3,1.1,4,2021-03-24 23:00,,0.5,19,34,0,120.96231389,24.81953333,312
屏東(枋寮),屏東縣,67,細懸浮微粒,普通,1,0.38,2.5,25,42,18,24.4,62.1,37.7,0.2,53,2021-03-24 23:00,,0.3,22,47,4,120.59116667,22.37094722,313
基隆,基隆市,65,細懸浮微粒,普通,2.3,0.68,7.4,20,32,18,26.3,29.3,2.9,0.5,286,2021-03-24 22:00,,0.6,21,37,2,121.760056,25.129167,1
汐止,新北市,74,細懸浮微粒,普通,2.7,0.74,3.4,11,36,25,29.8,55.7,25.9,0.7,16,2021-03-24 22:00,,0.7,25,43,2,121.6423,25.067131,2
萬里,新北市,57,細懸浮微粒,普通,2,0.29,38.7,46,24,18,4.9,6.4,1.5,2.3,208,2021-03-24 22:00,,0.3,18,29,2,121.689881,25.179667,3
新店,新北市,65,細懸浮微粒,普通,2.1,0.6,12.9,23,39,21,20.4,26.1,5.7,1.4,197,2021-03-24 22:00,,0.6,21,34,2,121.537778,24.977222,4
土城,新北市,61,細懸浮微粒,普通,1.5,0.63,7.4,11,44,24,26.4,34,7.7,0.7,136,2021-03-24 22:00,,0.6,19,38,2,121.451861,24.982528,5
板橋,新北市,77,細懸浮微粒,普通,3.4,1.3,0,15,50,22,42,79,37,1.4,261,2021-03-24 22:00,,0.9,26,50,3,121.458667,25.012972,6
新莊,新北市,75,細懸浮微粒,普通,2.7,1.19,4.1,22,50,27,45.8,80.8,35,1.3,1,2021-03-24 22:00,,0.7,25,48,3,121.4325,25.037972,7
菜寮,新北市,72,細懸浮微粒,普通,2.7,1.12,2.2,25,55,31,41.7,70.4,28.8,0.5,270,2021-03-24 22:00,,0.6,24,49,2,121.481028,25.06895,8
