SiteName,County,AQI,Pollutant,Status,SO2,CO,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,DataCreationDate,Unit,CO_8hr,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
士林,臺北市,54,臭氧八小時,普通,1.9,0.27,44.9,56,30,12,13.2,14.9,1.7,1,242,2021-04-05 23:00,,0.2,12,30,2,121.515389,25.105417,11
中山,臺北市,47,,良好,2,0.39,39.2,44,37,14,20,22.8,2.8,2,128,2021-04-05 23:00,,0.4,14,33,2,121.526528,25.062361,12
萬華,臺北市,45,,良好,1.1,0.32,41,49,29,13,18.1,19.2,1.1,1.6,106,2021-04-05 23:00,,0.3,13,32,1,121.507972,25.046503,13
古亭,臺北市,46,,良好,0.5,0.28,41.9,49,31,15,10.7,11.8,1,1.3,79,2021-04-05 23:00,,0.3,14,31,1,121.529556,25.020608,14
松山,臺北市,44,,良好,1.9,0.34,41.6,48,34,11,15.3,17.7,2.4,1.5,42,2021-04-05 23:00,,0.3,14,33,2,121.578611,25.05,15
大同,臺北市,45,,良好,2.2,1.12,-,-,33,17,39.8,73,33.2,-,-,2021-04-05 23:00,,0.7,14,39,2,121.513311,25.0632,16
桃園,桃園市,45,,良好,9.1,0.27,48,49,32,14,12.2,12.8,0.6,2.4,62,2021-04-05 23:00,,0.3,14,35,3,121.30872222,24.98677778,17
基隆,基隆市,46,,良好,1.3,0.3,32,50,29,12,11.5,12.6,1.1,1,277,2021-04-05 23:00,,0.2,12,29,1,121.760056,25.129167,1
汐止,新北市,44,,良好,1.5,0.36,27.9,47,23,14,20.9,24.1,3.3,1.2,34,2021-04-05 23:00,,0.3,12,32,1,121.6423,25.067131,2
萬里,新北市,74,臭氧八小時,普通,2.8,0.19,44,62,45,13,5.2,6.2,1,1.8,63,2021-04-05 23:00,,0.2,14,77,3,121.689881,25.179667,3
新店,新北市,51,臭氧八小時,普通,1.4,0.23,54.7,55,27,10,5.8,7.3,1.5,2.4,134,2021-04-05 23:00,,0.3,12,31,2,121.537778,24.977222,4
土城,新北市,49,,良好,1.5,0.24,50.3,53,31,10,7.3,8.2,0.9,1.3,111,2021-04-05 23:00,,0.3,10,32,2,121.451861,24.982528,5
板橋,新北市,44,,良好,1.9,0.32,43.3,45,35,16,13.4,15.1,1.6,1.4,84,2021-04-05 23:00,,0.3,13,34,2,121.458667,25.012972,6
新莊,新北市,49,,良好,2.4,0.31,49.4,53,29,12,10.9,10.9,0,2,83,2021-04-05 23:00,,0.3,12,32,3,121.4325,25.037972,7
菜寮,新北市,48,,良好,1.1,0.34,44.3,52,29,14,7.1,7.5,0.3,2.8,100,2021-04-05 23:00,,0.3,14,32,1,121.481028,25.06895,8
林口,新北市,49,,良好,1.9,0.29,45.8,51,32,14,13.9,15.2,1.3,2.4,109,2021-04-05 23:00,,0.3,15,36,2,121.376869,25.077197,9
淡水,新北市,50,,良好,2,0.38,25.9,43,27,17,13.2,14.5,1.3,0.4,100,2021-04-05 23:00,,0.3,15,28,2,121.449239,25.1645,10
桃園,桃園市,54,臭氧八小時,普通,3.3,0.25,56.6,56,52,19,8.4,8.9,0.3,2.2,45,2021-04-05 05:00,,0.3,16,38,3,121.30872222,24.98677778,17
大園,桃園市,60,細懸浮微粒,普通,2.8,0.29,61.3,57,54,21,9.7,9.5,0,7.2,62,2021-04-05 05:00,,0.3,19,36,3,121.201811,25.060344,18
觀音,桃園市,57,細懸浮微粒,普通,3.4,0.3,54.5,51,56,21,9.7,10.3,0.6,6,70,2021-04-05 05:00,,0.3,18,42,3,121.082761,25.035503,19
平鎮,桃園市,55,細懸浮微粒,普通,3.2,0.28,58.4,56,43,20,5.5,7.4,1.9,2.9,67,2021-04-05 05:00,,0.3,17,35,3,121.203986,24.952786,20
龍潭,桃園市,61,臭氧八小時,普通,1.1,0.23,62.4,58,48,19,5,6.1,1.1,4.5,53,2021-04-05 05:00,,0.2,16,34,1,121.21635,24.863869,21
湖口,新竹縣,54,臭氧八小時,普通,2.8,0.3,56.9,56,48,16,8.2,7.7,0,5,50,2021-04-05 05:00,,0.3,15,35,3,121.038653,24.900142,22
