SiteName,County,AQI,Pollutant,Status,SO2,CO,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,DataCreationDate,Unit,CO_8hr,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
基隆,基隆市,39,,良好,1.2,0.16,41.3,42,20,8,3.4,5,1.5,2.7,83,2021-04-26 15:00,,0.2,10,18,1,121.760056,25.129167,1
汐止,新北市,40,,良好,1.4,0.18,42.9,43,25,7,6.7,10.5,3.8,3,51,2021-04-26 15:00,,0.2,8,16,2,121.6423,25.067131,2
萬里,新北市,42,,良好,4.9,0.14,45.5,45,19,10,,,,3.6,103,2021-04-26 15:00,,0.2,9,25,3,121.689881,25.179667,3
新店,新北市,43,,良好,1.3,0.17,50.3,46,28,6,2,2.9,0.9,6.2,136,2021-04-26 15:00,,0.2,8,22,2,121.537778,24.977222,4
土城,新北市,40,,良好,0.5,0.18,47.4,43,26,10,5.1,6.7,1.6,2.5,117,2021-04-26 15:00,,0.3,8,23,1,121.451861,24.982528,5
板橋,新北市,32,,良好,2.1,0.26,38.6,35,24,7,8.4,11,2.6,2.8,93,2021-04-26 15:00,,0.3,8,25,2,121.458667,25.012972,6
新莊,新北市,40,,良好,2.4,0.21,45.1,43,39,9,5,6.8,1.8,6.3,73,2021-04-26 15:00,,0.3,7,27,2,121.4325,25.037972,7
菜寮,新北市,41,,良好,1.7,0.21,45.3,44,40,8,,,,5.7,111,2021-04-26 15:00,,0.3,9,24,2,121.481028,25.06895,8
林口,新北市,38,,良好,2.6,0.16,44.1,41,31,11,8.2,12.6,4.4,5,80,2021-04-26 15:00,,0.2,10,28,2,121.376869,25.077197,9
淡水,新北市,42,,良好,1.7,0.16,39.9,45,35,17,5.6,26.1,20.5,,,2021-04-26 15:00,,0.2,9,19,2,121.449239,25.1645,10
士林,臺北市,43,,良好,1.6,,45.1,46,30,6,4.6,5.7,1.1,4.6,111,2021-04-26 15:00,,0.2,8,21,2,121.515389,25.105417,11
中山,臺北市,34,,良好,1.7,0.28,41,36,28,12,8.1,12.6,4.5,4.9,125,2021-04-26 15:00,,0.4,10,21,2,121.526528,25.062361,12
