SiteName,County,AQI,Pollutant,Status,SO2,CO,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,DataCreationDate,Unit,CO_8hr,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
嘉義,嘉義市,55,細懸浮微粒,普通,1.2,0.25,3.1,5,25,20,11.4,13.5,2,0.7,110,2021-04-02 05:00,,0.3,17,30,1,120.44083333,23.462778,42
新營,臺南市,54,細懸浮微粒,普通,2.6,0.3,1.1,5,33,16,12.7,20.1,7.4,0.8,67,2021-04-02 05:00,,0.3,17,31,2,120.31725,23.305633,43
善化,臺南市,46,,良好,2.6,0.35,0.5,1,25,16,12.6,30.2,17.6,0.4,344,2021-04-02 05:00,,0.3,14,24,2,120.297142,23.115097,44
安南,臺南市,67,細懸浮微粒,普通,1.4,0.26,6.3,5,30,20,15,17,2,1.4,309,2021-04-02 05:00,,0.4,22,36,1,120.2175,23.048197,45
臺南,臺南市,50,,良好,2.3,0.2,12.4,8,35,17,,,,0.8,291,2021-04-02 05:00,,0.4,15,31,2,120.202617,22.984581,46
美濃,高雄市,47,,良好,1.3,0.23,2.2,9,22,13,7.6,9.6,2,0.9,61,2021-04-02 05:00,,0.2,15,23,2,120.530542,22.883583,47
橋頭,高雄市,61,細懸浮微粒,普通,2.2,0.41,0,4,33,22,14.5,31.4,16.9,0.7,4,2021-04-02 05:00,,0.3,19,27,2,120.305689,22.757506,48
仁武,高雄市,63,細懸浮微粒,普通,2.4,0.39,3.1,8,43,23,22.8,29.2,6.5,0.4,325,2021-04-02 05:00,,0.4,20,36,2,120.332631,22.689056,49
鳳山,高雄市,69,細懸浮微粒,普通,3,0.35,8.1,11,33,22,18,22.1,4.1,0.7,295,2021-04-02 05:00,,0.4,23,32,3,120.358083,22.627392,50
崙背,雲林縣,60,細懸浮微粒,普通,1.9,0.15,34.1,34,28,16,7.5,9,1.5,2.1,309,2021-04-02 17:00,,0.2,19,31,2,120.348742,23.757547,38
新港,嘉義縣,53,細懸浮微粒,普通,1.3,0.15,35.1,35,29,12,3.8,5.4,1.6,2.6,291,2021-04-02 17:00,,0.2,16,30,2,120.345531,23.554839,39
朴子,嘉義縣,49,,良好,1,0.15,29.5,29,29,11,1.7,3.7,2.1,2.4,348,2021-04-02 17:00,,0.2,15,28,1,120.24781111,23.46712222,40
臺西,雲林縣,39,,良好,1.3,0.11,35.5,34,39,12,4,5.2,1.3,1.9,300,2021-04-02 17:00,,0.1,12,26,2,120.19933333,23.702175,41
嘉義,嘉義市,58,細懸浮微粒,普通,2,0.22,30.1,34,26,18,6.6,8.6,2,2.4,318,2021-04-02 17:00,,0.2,18,27,2,120.44083333,23.462778,42
新營,臺南市,45,,良好,2.6,0.2,32.7,33,27,12,4.5,5.9,1.4,2.2,312,2021-04-02 17:00,,0.2,14,27,2,120.31725,23.305633,43
