SiteName,County,AQI,Pollutant,Status,SO2,CO,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,DataCreationDate,Unit,CO_8hr,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
萬里,新北市,80,臭氧八小時,普通,0.6,0.23,62.5,64,72,24,3.7,4.7,1.0,8,50,2021-11-27 08:00,,0.2,20,68,0,121.689881,25.179667000000002,3
新店,新北市,45,,良好,0.8,0.43,39.0,49,31,17,15.9,17.1,1.1,1.5,132,2021-11-27 08:00,,0.2,11,22,0,121.537778,24.977222,4
土城,新北市,44,,良好,1.1,0.46,33.7,48,27,15,17.9,18.8,0.8,1,152,2021-11-27 08:00,,0.2,10,20,0,121.45186100000001,24.982528,5
臺南(麻豆),臺南市,31,,良好,1.4,0.26,32.6,33,24,11,11.1,12.4,1.2,1.8,356,2021-11-27 08:00,,0.1,10,22,1,120.24583056,23.17904722,203
屏東(琉球),屏東縣,91,細懸浮微粒,普通,8.2,0.68,10.9,3,62,32,22.7,30.0,7.3,0.5,29,2021-11-27 08:00,,0.7,32,61,6,120.37722,22.352220000000003,204
新北(樹林),新北市,52,二氧化氮,普通,0.0,0.44,18.3,36,22,13,33.7,44.9,11.2,0,130,2021-11-27 08:00,,0.2,12,18,0,121.38352778,24.94902778,311
臺南(學甲),臺南市,30,,良好,0.6,0.27,33.5,32,31,8,8.2,13.1,4.9,2.6,8,2021-11-27 08:00,,0.2,9,26,0,120.18339722,23.23688056,312
汐止,新北市,48,,良好,0.4,0.31,40.2,41,28,17,19.3,20.8,1.4,1.6,73,2021-11-27 09:00,,0.2,15,30,0,121.6423,25.067131,2
基隆,基隆市,54,細懸浮微粒,普通,0.6,0.23,56.8,55,36,17,3.8,4.4,0.6,1.3,100,2021-11-27 09:00,,0.2,17,37,0,121.760056,25.129167000000002,1
板橋,新北市,47,,良好,0.2,0.35,40.2,48,30,19,16.4,17.9,1.4,1.6,110,2021-11-27 08:00,,0.2,15,25,0,121.45866699999999,25.012972,6
關山,臺東縣,42,,良好,1.1,-,41.3,45,9,3,3.0,3.3,0.3,3,27,2021-11-27 08:00,,-,2,7,0,121.161933,23.045082999999998,80
麥寮,雲林縣,44,,良好,3.9,0.24,48.9,47,46,15,9.6,11.4,1.7,5.6,5,2021-11-27 08:00,,0.2,13,38,3,120.251825,23.753505999999998,83
富貴角,新北市,90,臭氧八小時,普通,0.1,0.18,64.8,67,52,14,1.5,1.5,0.0,9.6,124,2021-11-27 08:00,,0.1,18,54,0,121.54738,25.292279999999998,84
大城,彰化縣,50,,良好,1.4,0.17,56.8,54,40,18,3.6,4.4,0.7,8.7,45,2021-11-27 08:00,,0.1,14,36,1,120.26964167,23.85493056,85
