SiteName,County,AQI,Pollutant,Status,SO2,CO,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,DataCreationDate,Unit,CO_8hr,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
新店,新北市,24,,良好,1,0.43,15.1,26,12,2,14.9,18.5,3.5,1.7,158,2021-11-20 09:00,,0.2,5,12,1,121.537778,24.977222,4
忠明,臺中市,49,,良好,1.3,0.6,17.4,4,29,17,25.8,36,10.1,0.8,51,2021-11-20 09:00,,0.4,15,26,1,120.641092,24.151958,31
富貴角,新北市,71,臭氧八小時,普通,0,0.14,61.6,61,45,12,0.8,0.8,0,8.9,79,2021-11-20 09:00,,0.1,12,43,0,121.54738,25.29228,84
大城,彰化縣,62,細懸浮微粒,普通,3.1,0.37,20.7,12,62,29,11.2,17.7,6.5,2.7,9,2021-11-20 09:00,,0.3,20,52,1,120.26964167,23.85493056,85
高雄(湖內),高雄市,69,細懸浮微粒,普通,4.2,0.41,21.3,6,51,25,15.7,21.4,5.7,0.9,75,2021-11-20 09:00,,0.4,23,54,1,120.24535,22.87985556,202
臺南(麻豆),臺南市,62,細懸浮微粒,普通,2.3,0.51,8.4,5,77,31,18.7,29.4,10.7,0.8,342,2021-11-20 09:00,,0.3,20,53,1,120.24583056,23.17904722,203
淡水,新北市,36,,良好,0.6,0.24,39.7,33,23,10,5.1,5.9,0.7,2.2,30,2021-11-20 09:00,,0.2,11,22,0,121.449239,25.1645,10
士林,臺北市,44,,良好,0.9,0.22,46.9,47,32,6,6.3,7.4,1,1.3,279,2021-11-20 09:00,,0.1,10,27,0,121.515389,25.105417,11
中山,臺北市,45,,良好,0.7,0.48,33.2,37,34,14,18.4,21.2,2.8,1.8,119,2021-11-20 09:00,,0.3,14,32,0,121.526528,25.062361,12
萬華,臺北市,40,,良好,0.6,0.31,38.2,39,25,14,16.3,18.5,2.2,2.4,111,2021-11-20 09:00,,0.2,12,27,0,121.507972,25.046503,13
古亭,臺北市,42,,良好,0.9,0.32,33.7,41,30,14,16.3,17.6,1.2,1.2,133,2021-11-20 09:00,,0.1,13,27,0,121.529556,25.020608,14
松山,臺北市,43,,良好,1.1,0.24,41.6,37,36,14,11.2,12.7,1.4,2,47,2021-11-20 09:00,,0.2,13,30,0,121.578611,25.05,15
大同,臺北市,50,,良好,0.8,0.59,22.2,28,48,17,27.4,39,11.6,-,-,2021-11-20 09:00,,0.5,15,41,1,121.513311,25.0632,16
桃園,桃園市,44,,良好,5.6,0.55,34.8,42,27,16,19.2,22.5,3.2,1.8,72,2021-11-20 09:00,,0.3,14,25,2,121.30872222,24.98677778,17
大園,桃園市,42,,良好,2.6,0.25,36.7,36,42,17,20,24.2,4.2,5,85,2021-11-20 09:00,,0.2,13,34,2,121.201811,25.060344,18
觀音,桃園市,53,細懸浮微粒,普通,2.6,0.19,45.9,45,38,14,7.3,8.7,1.4,6.7,58,2021-11-20 09:00,,0.1,16,39,2,121.082761,25.035503,19
平鎮,桃園市,39,,良好,1.8,0.56,29.9,37,26,15,20.4,25.2,4.8,4,80,2021-11-20 09:00,,0.2,12,23,1,121.203986,24.952786,20
龍潭,桃園市,37,,良好,1.8,0.26,39,40,21,15,9.6,11.8,2.2,5.1,65,2021-11-20 09:00,,0.1,10,18,1,121.21635,24.863869,21
湖口,新竹縣,45,,良好,1.1,0.26,37.3,37,32,15,8.7,10.3,1.5,3.3,54,2021-11-20 09:00,,0.1,14,28,1,121.038653,24.900142,22
竹東,新竹縣,16,,良好,0.7,0.23,31.7,12,9,6,6.7,8.8,2,3.3,52,2021-11-20 09:00,,0.2,5,10,1,121.088903,24.740644,23
新竹,新竹市,38,,良好,1.9,0.32,37.1,31,24,13,13.3,15.3,2,3.4,43,2021-11-20 09:00,,0.2,12,19,1,120.972075,24.805619,24
頭份,苗栗縣,22,,良好,1.5,0.26,33.1,10,18,9,13.1,16.8,3.7,3.9,66,2021-11-20 09:00,,0.2,7,15,2,120.898572,24.696969,25
苗栗,苗栗縣,22,,良好,1,0.24,12.4,3,10,5,8.5,16.3,7.8,2.1,57,2021-11-20 09:00,,0.2,7,15,1,120.8202,24.565269,26
三義,苗栗縣,17,,良好,1.1,0.18,27.7,12,13,6,3.4,5.4,1.9,1.9,18,2021-11-20 09:00,,0.2,5,12,1,120.758833,24.382942,27
豐原,臺中市,34,,良好,1,0.22,28.6,14,13,8,5.7,8.4,2.7,1.3,59,2021-11-20 09:00,,0.2,10,16,1,120.741711,24.256586,28
沙鹿,臺中市,44,,良好,2.3,0.39,17.8,7,30,11,15.7,23.5,7.8,1.9,347,2021-11-20 09:00,,0.3,13,25,1,120.568794,24.225628,29
大里,臺中市,60,細懸浮微粒,普通,1.9,0.66,8.8,2,52,26,21,38.5,17.5,0.5,226,2021-11-20 09:00,,0.5,19,38,1,120.67844444,24.09961111,30
西屯,臺中市,44,,良好,1.2,0.51,8.8,3,33,11,24.6,45.7,21,0.7,142,2021-11-20 09:00,,0.4,13,31,1,120.616917,24.162197,32
彰化,彰化縣,52,細懸浮微粒,普通,1.9,0.5,15.9,6,36,16,19.6,28.4,8.8,2.3,19,2021-11-20 09:00,,0.4,16,31,1,120.541519,24.066,33
線西,彰化縣,55,細懸浮微粒,普通,10.3,0.31,15.1,7,35,21,17.2,27,9.8,2,65,2021-11-20 09:00,,0.3,17,36,3,120.469061,24.131672,34
二林,彰化縣,55,細懸浮微粒,普通,1.8,0.34,21.4,6,47,21,10.2,15.5,5.2,1.4,64,2021-11-20 09:00,,0.3,17,46,2,120.409653,23.925175,35
南投,南投縣,51,細懸浮微粒,普通,1.6,0.31,16.7,3,21,9,9.5,17.1,7.6,0.5,114,2021-11-20 09:00,,0.3,16,23,2,120.685306,23.913,36
斗六,雲林縣,46,,良好,1.2,0.19,20.6,9,21,8,6.8,10,3.2,3.1,30,2021-11-20 09:00,,0.2,14,31,1,120.544994,23.711853,37
崙背,雲林縣,67,細懸浮微粒,普通,4.4,0.49,16.7,6,55,29,13.1,20.2,7.1,1.9,42,2021-11-20 09:00,,0.3,22,52,2,120.348742,23.757547,38
新港,嘉義縣,66,細懸浮微粒,普通,2.1,0.45,14.4,6,69,31,14,21.5,7.4,2.1,12,2021-11-20 09:00,,0.3,22,50,1,120.345531,23.554839,39
朴子,嘉義縣,68,細懸浮微粒,普通,2.9,0.42,12.4,9,67,31,15.2,22.2,6.9,1.1,346,2021-11-20 09:00,,0.3,22,48,1,120.24781111,23.46712222,40
臺西,雲林縣,68,細懸浮微粒,普通,2.6,0.45,16.7,10,70,31,15.3,20.7,5.3,2.5,41,2021-11-20 09:00,,0.3,22,51,2,120.19933333,23.702175,41
嘉義,嘉義市,64,細懸浮微粒,普通,4.1,0.49,9.7,4,55,24,17.4,32,14.6,0.7,85,2021-11-20 09:00,,0.3,21,43,4,120.44083333,23.462778,42
新營,臺南市,62,細懸浮微粒,普通,1.6,0.43,7.1,6,56,28,17.3,31.6,14.3,1.2,325,2021-11-20 09:00,,0.3,20,48,1,120.31725,23.305633,43
善化,臺南市,57,細懸浮微粒,普通,1.3,0.47,8.7,5,61,31,15.4,25.4,9.9,0.8,219,2021-11-20 09:00,,0.3,18,41,1,120.297142,23.115097,44
安南,臺南市,67,細懸浮微粒,普通,3.9,0.57,0.3,0,70,31,20.7,30.9,10.1,0.4,56,2021-11-20 09:00,,0.4,22,52,1,120.2175,23.048197,45
臺南,臺南市,74,細懸浮微粒,普通,7.8,0.59,18.9,10,76,35,22.5,30.4,7.8,0.9,53,2021-11-20 09:00,,0.4,25,57,1,120.202617,22.984581,46
美濃,高雄市,59,細懸浮微粒,普通,0.8,0.26,16.1,13,31,21,5.7,7.9,2.2,1.3,150,2021-11-20 09:00,,0.2,19,30,1,120.530542,22.883583,47
橋頭,高雄市,81,細懸浮微粒,普通,2.8,0.39,16.4,6,69,32,20.8,30.9,10,1,66,2021-11-20 09:00,,0.3,28,64,2,120.305689,22.757506,48
仁武,高雄市,76,細懸浮微粒,普通,5.9,0.49,18.8,7,64,31,30.6,42.5,11.9,1,334,2021-11-20 09:00,,0.4,26,53,1,120.332631,22.689056,49
鳳山,高雄市,87,細懸浮微粒,普通,4.7,0.84,19.9,7,60,36,30.1,40.1,9.9,0.7,250,2021-11-20 09:00,,0.5,30,56,2,120.358083,22.627392,50
大寮,高雄市,79,細懸浮微粒,普通,3.2,0.38,27.7,12,51,29,17.6,22.8,5.2,0.9,311,2021-11-20 09:00,,0.3,27,54,2,120.425311,22.56413611,51
林園,高雄市,82,細懸浮微粒,普通,3.1,0.34,28.9,17,58,32,13.7,16.3,2.5,1.3,91,2021-11-20 09:00,,0.3,28,59,3,120.41175,22.4795,52
楠梓,高雄市,38,,良好,4.1,0.47,22.3,7,4,3,23,28.1,5.1,0.3,60,2021-11-20 09:00,,0.4,4,4,1,120.328289,22.733667,53
左營,高雄市,87,細懸浮微粒,普通,4.5,0.58,25.1,9,68,35,19.3,25.5,6.1,1.3,44,2021-11-20 09:00,,0.4,30,60,2,120.292917,22.674861,54
前金,高雄市,80,細懸浮微粒,普通,3.1,0.56,24.9,10,66,29,19.7,24.8,5.1,1,32,2021-11-20 09:00,,0.5,27,64,2,120.288086,22.632567,56
前鎮,高雄市,82,細懸浮微粒,普通,2.9,0.65,28.6,12,73,33,21.3,27.1,5.7,1.1,351,2021-11-20 09:00,,0.5,28,66,2,120.307564,22.605386,57
小港,高雄市,79,細懸浮微粒,普通,2.5,0.66,23.2,6,62,31,24.5,30.5,5.9,1.1,76,2021-11-20 09:00,,0.5,27,59,2,120.337736,22.565833,58
屏東,屏東縣,63,細懸浮微粒,普通,1,0.34,27.4,15,49,18,8.2,10.5,2.2,1.1,199,2021-11-20 09:00,,0.2,20,46,1,120.488033,22.673081,59
潮州,屏東縣,70,細懸浮微粒,普通,0.9,0.43,9.3,7,65,30,13.8,20.3,6.4,0.7,83,2021-11-20 09:00,,0.3,23,46,1,120.561175,22.523108,60
恆春,屏東縣,36,,良好,0.9,0.14,42.6,39,8,3,0.7,0.8,0.1,7.8,34,2021-11-20 09:00,,0.1,5,9,0,120.788928,21.958069,61
臺東,臺東縣,28,,良好,1.3,0.25,27.1,30,12,3,7.4,9.2,1.7,2.1,23,2021-11-20 09:00,,0.1,3,12,1,121.15045,22.755358,62
