SiteName,County,AQI,Pollutant,Status,SO2,CO,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,DataCreationDate,Unit,CO_8hr,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
基隆,基隆市,42,,良好,0.9,0.37,5.9,13,29,11,12.5,14.1,1.5,0.9,84,2021-08-13 00:00,,0.3,13,23,1,121.760056,25.129167,1
汐止,新北市,40,,良好,1.1,0.39,1.8,10,25,11,16.4,22.7,6.2,0.5,246,2021-08-13 00:00,,0.4,12,24,2,121.6423,25.067131,2
萬里,新北市,31,,良好,0.4,0.32,14.5,28,26,8,9.7,10.4,0.7,2.5,250,2021-08-13 00:00,,0.2,10,22,0,121.689881,25.179667,3
新店,新北市,27,,良好,0,0.15,14.2,24,21,8,4.4,5.7,1.3,2.1,192,2021-08-13 00:00,,0.2,8,19,0,121.537778,24.977222,4
土城,新北市,33,,良好,0.6,0.38,6.1,18,27,16,13.8,15.6,1.8,1,145,2021-08-13 00:00,,0.3,10,23,0,121.451861,24.982528,5
板橋,新北市,37,,良好,1.1,0.58,4.9,17,21,10,22.4,24.3,1.8,0.4,122,2021-08-13 00:00,,0.5,11,20,1,121.458667,25.012972,6
新莊,新北市,45,,良好,3.4,0.73,1.6,19,30,15,27.1,35.7,8.5,0.8,43,2021-08-13 00:00,,0.5,14,22,1,121.4325,25.037972,7
菜寮,新北市,43,,良好,0.8,0.49,6.1,18,21,13,20.3,21.9,1.6,1.1,151,2021-08-13 00:00,,0.5,13,19,0,121.481028,25.06895,8
麥寮,雲林縣,13,,良好,1.2,0.14,12.5,14,9,5,4.8,7,2.2,1.6,179,2021-08-13 00:00,,0.1,4,13,1,120.251825,23.753506,83
富貴角,新北市,33,,良好,0.4,0.24,19.4,34,20,8,8.5,8.4,0,0.5,237,2021-08-13 00:00,,0.1,10,21,0,121.54738,25.29228,84
大城,彰化縣,19,,良好,1.3,0.11,10.7,14,8,4,4.1,5.3,1.2,0.8,188,2021-08-13 00:00,,0,6,10,1,120.26964167,23.85493056,85
彰化(員林),彰化縣,15,,良好,1.3,0.1,10.3,16,11,5,4.3,5,0.7,0.4,309,2021-08-13 00:00,,0.1,4,12,1,120.58178611,23.95058333,201
臺南(麻豆),臺南市,17,,良好,1.2,0.11,11.3,13,8,6,3.8,3.7,0,0.5,136,2021-08-13 00:00,,0.1,5,11,0,120.24583056,23.17904722,203
屏東(枋寮),屏東縣,16,,良好,0.1,0.1,8.7,17,,4,2,2.5,0.4,0.1,61,2021-08-13 00:00,,0,3,,0,120.59116667,22.37094722,313
林口,新北市,35,,良好,3.4,0.23,6.3,15,18,10,16.7,17.5,0.7,2.4,260,2021-08-13 00:00,,0.3,11,19,2,121.376869,25.077197,9
淡水,新北市,32,,良好,0.4,0.52,7.3,17,24,10,17.3,18.4,1,0.1,0,2021-08-13 00:00,,0.3,10,25,0,121.449239,25.1645,10
士林,臺北市,38,,良好,0.6,0.38,10,24,22,10,18,19.1,1,0.9,139,2021-08-13 00:00,,0.3,12,21,0,121.515389,25.105417,11
中山,臺北市,37,,良好,0.9,0.27,12.9,16,15,9,12.3,13.5,1.2,1.3,147,2021-08-13 00:00,,0.5,12,20,1,121.526528,25.062361,12
萬華,臺北市,37,,良好,1,0.29,10.5,17,16,9,12.5,13.7,1.1,1.3,159,2021-08-13 00:00,,0.5,12,18,1,121.507972,25.046503,13
古亭,臺北市,36,,良好,0.4,0.2,13.4,21,11,9,7.6,8.8,1.2,0.8,202,2021-08-13 00:00,,0.3,11,18,0,121.529556,25.020608,14
松山,臺北市,41,,良好,1.3,0.47,4.6,12,27,13,19.6,22.7,3.1,0.6,196,2021-08-13 00:00,,0.4,13,23,1,121.578611,25.05,15
大同,臺北市,56,細懸浮微粒,普通,0.8,0.97,-,-,34,18,18.4,36.9,18.4,-,-,2021-08-13 00:00,,1.7,18,32,1,121.513311,25.0632,16
桃園,桃園市,32,,良好,3,0.22,9.4,14,11,9,10.4,11.6,1.1,,,2021-08-13 00:00,,0.3,10,17,2,121.30872222,24.98677778,17
大園,桃園市,24,,良好,3.4,0.23,2.9,11,19,7,14.9,15.4,0.4,1.7,229,2021-08-13 00:00,,0.1,7,16,2,121.201811,25.060344,18
觀音,桃園市,16,,良好,1.1,0.1,9.7,15,16,3,8.7,9.1,0.4,4.3,245,2021-08-13 00:00,,0,5,13,1,121.082761,25.035503,19
平鎮,桃園市,34,,良好,1.7,0.2,7.3,9,10,9,11.2,12,0.7,1.2,219,2021-08-13 00:00,,0.2,10,16,1,121.203986,24.952786,20
龍潭,桃園市,26,,良好,1.7,0.18,7.8,14,14,4,10.8,11.5,0.7,1.6,198,2021-08-13 00:00,,0.1,8,18,0,121.21635,24.863869,21
湖口,新竹縣,26,,良好,3,0.14,8.6,12,16,6,10.9,10.6,0,3.2,242,2021-08-13 00:00,,0.1,8,17,1,121.038653,24.900142,22
竹東,新竹縣,26,,良好,1.7,0.21,4.8,10,17,11,7.7,8.4,0.6,1.5,124,2021-08-13 00:00,,0.2,8,19,1,121.088903,24.740644,23
新竹,新竹市,25,,良好,0.3,0.21,11.1,11,11,8,8.1,8.7,0.6,3,248,2021-08-13 00:00,,0.2,8,13,0,120.972075,24.805619,24
頭份,苗栗縣,20,,良好,2.1,0.11,11.7,11,3,5,5.9,7.2,1.3,3.2,247,2021-08-13 00:00,,0.1,6,14,2,120.898572,24.696969,25
苗栗,苗栗縣,19,,良好,1,0.06,13.8,13,7,4,4,5,1,2.7,215,2021-08-13 00:00,,0.1,6,13,1,120.8202,24.565269,26
三義,苗栗縣,18,,良好,1.4,0.09,14.7,15,9,4,2.6,3.3,0.7,3.6,192,2021-08-13 00:00,,0.1,5,14,1,120.758833,24.382942,27
豐原,臺中市,24,,良好,0.9,0.11,15.5,18,9,6,3.1,3.9,0.8,3.5,189,2021-08-13 00:00,,0.2,8,15,1,120.741711,24.256586,28
沙鹿,臺中市,19,,良好,1.7,0.12,11,12,16,6,6.1,7.3,1.2,2.6,174,2021-08-13 00:00,,0.1,6,15,1,120.568794,24.225628,29
大里,臺中市,28,,良好,1.5,0.12,13,17,9,5,6.4,7.8,1.3,1.9,143,2021-08-13 00:00,,0.2,9,16,1,120.67844444,24.09961111,30
忠明,臺中市,20,,良好,1.1,0.18,11.4,15,10,4,11.8,12.9,1,1.5,194,2021-08-13 00:00,,0.2,6,12,1,120.641092,24.151958,31
西屯,臺中市,20,,良好,1.5,0.12,8.2,12,9,5,10.5,12.3,1.8,2.4,185,2021-08-13 00:00,,0.1,6,14,1,120.616917,24.162197,32
彰化,彰化縣,20,,良好,1.9,0.05,12.8,13,8,4,5.9,6.7,0.8,2,177,2021-08-13 00:00,,0,6,12,3,120.541519,24.066,33
線西,彰化縣,16,,良好,1,0.12,11.8,14,13,3,4.5,4.8,0.2,2.6,192,2021-08-13 00:00,,0,4,16,1,120.469061,24.131672,34
二林,彰化縣,17,,良好,1.4,0.13,11.9,15,11,2,3.8,4.8,1,1.6,173,2021-08-13 00:00,,0.1,5,13,1,120.409653,23.925175,35
