SiteName,County,AQI,Pollutant,Status,SO2,CO,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,DataCreationDate,Unit,CO_8hr,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
基隆,基隆市,29,,良好,1.7,0.29,14.8,22,15.0,3.0,8.9,9.7,0.8,0.7,305,2021-08-04 00:00,,0.35,9.0,17.0,1,121.760056,25.129167000000002,1
汐止,新北市,27,,良好,0.7,0.18,11.6,18,13.0,2.0,16.5,17.7,1.1,0.6,49,2021-08-04 00:00,,0.28,7.0,14.0,0,121.6423,25.067131,2
萬里,新北市,34,,良好,0.2,0.17,25.9,37,19.0,2.0,2.5,3.2,0.6,1.9,211,2021-08-04 00:00,,0.18,6.0,14.0,0,121.689881,25.179667000000002,3
新店,新北市,26,,良好,1.2,0.24,21.7,28,8.0,3.0,9.3,9.7,0.3,0.3,6,2021-08-04 00:00,,0.33,6.0,10.0,1,121.537778,24.977222,4
土城,新北市,22,,良好,0.5,0.33,23.2,24,4.0,2.0,9.3,9.9,0.5,1.5,149,2021-08-04 00:00,,0.43,5.0,12.0,0,121.45186100000001,24.982528,5
板橋,新北市,42,,良好,0.5,0.48,16.4,23,,9.0,16.1,16.8,0.6,0.3,133,2021-08-04 00:00,,0.57,13.0,,1,121.45866699999999,25.012972,6
新莊,新北市,37,,良好,0.7,0.38,13.8,26,9.0,8.0,22.3,22.7,0.4,1.2,10,2021-08-04 00:00,,0.46,10.0,14.0,2,121.4325,25.037972,7
菜寮,新北市,29,,良好,0.4,0.3,22.9,29,4.0,5.0,12.2,12.5,0.3,1.2,144,2021-08-04 00:00,,0.43,9.0,11.0,1,121.48102800000001,25.06895,8
基隆,基隆市,26,,良好,1.2,0.3,12.8,20,19.0,5.0,8.4,9.3,0.8,0.2,354,2021-08-04 01:00,,0.34,8.0,17.0,1,121.760056,25.129167000000002,1
汐止,新北市,25,,良好,1.5,0.18,9.9,18,14.0,6.0,15.6,16.3,0.7,0.3,24,2021-08-04 01:00,,0.25,7.0,14.0,0,121.6423,25.067131,2
萬里,新北市,31,,良好,0.2,0.16,22.9,33,23.0,3.0,1.5,2.1,0.5,2.2,223,2021-08-04 01:00,,0.18,6.0,15.0,0,121.689881,25.179667000000002,3
新店,新北市,24,,良好,1.5,0.25,17.9,26,21.0,9.0,12.7,12.8,0.0,1,148,2021-08-04 01:00,,0.3,6.0,12.0,1,121.537778,24.977222,4
土城,新北市,23,,良好,0.6,0.25,19.9,25,11.0,0.0,8.0,8.5,0.5,1.2,155,2021-08-04 01:00,,0.39,4.0,12.0,0,121.45186100000001,24.982528,5
板橋,新北市,41,,良好,0.7,0.51,12.3,22,,5.0,19.8,20.4,0.5,0.2,171,2021-08-04 01:00,,0.54,13.0,,1,121.45866699999999,25.012972,6
新莊,新北市,33,,良好,0.7,0.35,15.3,24,17.0,11.0,16.2,16.5,0.3,0.7,249,2021-08-04 01:00,,0.44,10.0,14.0,2,121.4325,25.037972,7
菜寮,新北市,27,,良好,0.0,0.41,15.4,25,6.0,3.0,16.2,16.7,0.5,0.9,295,2021-08-04 01:00,,0.44,8.0,10.0,1,121.48102800000001,25.06895,8
林口,新北市,30,,良好,0.7,0.19,33.3,32,11.0,8.0,4.9,5.8,0.9,0.6,145,2021-08-04 01:00,,0.28,7.0,11.0,1,121.376869,25.077197,9
淡水,新北市,26,,良好,0.9,0.26,15.9,25,18.0,4.0,5.5,6.1,0.6,0.8,120,2021-08-04 01:00,,0.3,8.0,19.0,1,121.44923899999999,25.1645,10
埔里,南投縣,27,,良好,1.2,0.16,20.8,29,16.0,6.0,3.9,5.1,1.2,0.4,312,2021-08-04 00:00,,0.21,7.0,11.0,1,120.967903,23.968842000000002,72
基隆,基隆市,28,,良好,1.2,0.29,2.3,18,24.0,7.0,17.0,23.2,6.1,0.4,341,2021-08-04 02:00,,0.31,8.0,19.0,1,121.760056,25.129167000000002,1
汐止,新北市,23,,良好,2.1,0.17,8.4,16,11.0,6.0,13.8,14.8,1.0,0.3,13,2021-08-04 02:00,,0.22,7.0,14.0,1,121.6423,25.067131,2
萬里,新北市,27,,良好,0.1,0.15,18.2,29,25.0,7.0,1.0,1.6,0.5,2.7,216,2021-08-04 02:00,,0.17,6.0,17.0,0,121.689881,25.179667000000002,3
新店,新北市,23,,良好,1.4,0.16,18.7,25,17.0,6.0,5.2,5.2,0.0,0.9,132,2021-08-04 02:00,,0.25,7.0,13.0,1,121.537778,24.977222,4
