SiteName,County,AQI,Pollutant,Status,SO2,CO,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,DataCreationDate,Unit,CO_8hr,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
基隆,基隆市,55,細懸浮微粒,普通,0,0.29,3.9,11,31,18,12.1,14,1.8,0.9,239,2021-08-26 00:00,,0.3,17,29,1,121.760056,25.129167,1
埔里,南投縣,26,,良好,1.5,0.08,17.4,23,6,2,2.9,4,1,0.4,114,2021-08-26 00:00,,0.1,8,11,1,120.967903,23.968842,72
汐止,新北市,54,細懸浮微粒,普通,0.7,0.39,0.4,9,35,11,16.6,24.5,7.9,0.8,251,2021-08-26 00:00,,0.4,17,28,1,121.6423,25.067131,2
萬里,新北市,56,細懸浮微粒,普通,0,0.14,9.6,20,24,17,2.4,2.6,0.2,3.6,224,2021-08-26 00:00,,0.1,18,25,0,121.689881,25.179667,3
新店,新北市,30,,良好,2.3,0.19,12.6,23,26,10,5.3,5.7,0.4,1.8,195,2021-08-26 00:00,,0.3,9,23,1,121.537778,24.977222,4
土城,新北市,44,,良好,1.3,0.55,2.9,7,31,12,23.3,31,7.7,0.9,144,2021-08-26 00:00,,0.6,14,29,1,121.451861,24.982528,5
板橋,新北市,46,,良好,1.5,0.48,1.8,7,28,12,20,24.8,4.7,0.4,249,2021-08-26 00:00,,0.7,14,26,0,121.458667,25.012972,6
新莊,新北市,61,細懸浮微粒,普通,10.2,0.68,0.5,9,38,22,26.7,31.9,5.2,1.1,157,2021-08-26 00:00,,0.6,20,35,2,121.4325,25.037972,7
菜寮,新北市,50,,良好,1.2,0.66,3,16,21,15,24.5,28.3,3.7,1.3,188,2021-08-26 00:00,,0.6,15,22,1,121.481028,25.06895,8
林口,新北市,53,細懸浮微粒,普通,2.4,0.33,15.7,19,22,14,19.2,21.4,2.2,1.5,162,2021-08-26 00:00,,0.4,16,23,1,121.376869,25.077197,9
淡水,新北市,52,細懸浮微粒,普通,0.9,0.94,0.6,18,28,20,32.8,38.2,5.3,1.6,140,2021-08-26 00:00,,0.5,16,22,0,121.449239,25.1645,10
士林,臺北市,55,細懸浮微粒,普通,0.6,0.42,3.9,15,28,16,19.8,21.2,1.4,0.7,86,2021-08-26 00:00,,0.4,17,27,0,121.515389,25.105417,11
中山,臺北市,45,,良好,0.7,0.51,9.2,,26,13,18.4,18.9,0.4,1.6,162,2021-08-26 00:00,,0.7,14,24,0,121.526528,25.062361,12
萬華,臺北市,48,,良好,1.1,0.78,0.7,12,27,13,29.3,35.8,6.4,0.4,132,2021-08-26 00:00,,0.6,13,23,1,121.507972,25.046503,13
古亭,臺北市,43,,良好,0.4,0.27,13.9,19,24,9,10,11.2,1.1,1.4,131,2021-08-26 00:00,,0.4,13,22,0,121.529556,25.020608,14
松山,臺北市,47,,良好,0.7,0.42,5,14,26,11,17.2,22.3,5.1,1.2,238,2021-08-26 00:00,,0.4,14,25,1,121.578611,25.05,15
大同,臺北市,51,細懸浮微粒,普通,2.6,2.18,0.4,2,23,16,29.8,79.1,49.2,-,-,2021-08-26 00:00,,2.5,16,27,2,121.513311,25.0632,16
桃園,桃園市,46,,良好,1.2,0.31,8.8,12,21,9,14.8,15.9,1.1,,,2021-08-26 00:00,,0.4,14,28,2,121.30872222,24.98677778,17
大園,桃園市,38,,良好,2.1,0.36,6.6,13,16,8,18.4,18.8,0.4,0.6,134,2021-08-26 00:00,,0.3,12,21,2,121.201811,25.060344,18
觀音,桃園市,51,細懸浮微粒,普通,1.1,0.12,13.7,20,13,10,6.9,7.5,0.5,1.1,189,2021-08-26 00:00,,0.1,16,19,1,121.082761,25.035503,19
平鎮,桃園市,49,,良好,1.9,0.25,6.7,16,15,11,15,17.8,2.8,0.9,180,2021-08-26 00:00,,0.3,15,19,1,121.203986,24.952786,20
