SiteName,County,AQI,Pollutant,Status,SO2,CO,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,DataCreationDate,Unit,CO_8hr,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
基隆,基隆市,12,,良好,0,0.12,4.7,8,8,4,3.2,3.8,0.5,0.9,294,2021-08-27 04:00,,0.1,4,10,0,121.760056,25.129167,1
汐止,新北市,18,,良好,0.5,0.11,0,0,10,6,7.2,13.8,6.5,0.6,23,2021-08-27 04:00,,0.1,5,13,0,121.6423,25.067131,2
萬里,新北市,11,,良好,0,0.08,3.3,5,9,1,1.9,2.1,0.2,3.7,218,2021-08-27 04:00,,0,3,7,0,121.689881,25.179667,3
新店,新北市,19,,良好,0.1,0.13,3.3,5,18,6,3.6,4.6,1,2.3,163,2021-08-27 04:00,,0.1,6,11,0,121.537778,24.977222,4
土城,新北市,28,,良好,0.4,0.27,2.8,2,19,11,13.2,18.5,5.2,1.4,148,2021-08-27 04:00,,0.3,9,18,0,121.451861,24.982528,5
板橋,新北市,36,,良好,1.5,0.33,0.7,1,25,12,14.5,19.5,4.9,0.8,268,2021-08-27 04:00,,0.3,11,21,0,121.458667,25.012972,6
新莊,新北市,47,,良好,3.2,0.27,2.2,4,31,19,14.5,16.5,1.9,1,168,2021-08-27 04:00,,0.2,14,23,1,121.4325,25.037972,7
菜寮,新北市,31,,良好,0.8,0.21,3.9,7,12,9,8.2,9.6,1.3,2.2,125,2021-08-27 04:00,,0.2,10,12,0,121.481028,25.06895,8
林口,新北市,40,,良好,1.6,0.14,29.5,16,17,15,9.5,10.9,1.4,1.1,121,2021-08-27 04:00,,0.2,12,15,1,121.376869,25.077197,9
淡水,新北市,9,,良好,0.5,0.14,4.5,8,8,3,5,5.8,0.8,0.7,150,2021-08-27 04:00,,0.1,3,7,0,121.449239,25.1645,10
士林,臺北市,15,,良好,0.5,0.09,5.6,6,14,3,4.9,5.4,0.5,1.4,86,2021-08-27 04:00,,0.1,4,11,1,121.515389,25.105417,11
中山,臺北市,16,,良好,0.8,0.19,3.3,4,15,7,6.8,7.4,0.6,1.4,137,2021-08-27 04:00,,0.2,5,11,0,121.526528,25.062361,12
萬華,臺北市,14,,良好,1,0.19,2.7,3,11,6,7.2,9.3,2.1,1.1,149,2021-08-27 04:00,,0.2,4,12,1,121.507972,25.046503,13
